ID	Title	Hobby
1	Hối hận	ครั้งหนึ่ง [NAME] ได้บังเอิญสังหารสหายรักไปโดยไม่ได้ตั้งใจในการแข่งขันกระชับมิตร เหตุการณ์นี้ทำให้[IT]รู้สึกHối hậnอย่างมากนับแต่นั้นเป็นต้นมา
2	Hối hận	ครั้งหนึ่ง [NAME] เคยเผชิญหน้ากับศัตรูในขณะที่ท่องเที่ยวไปกับคนรัก การต่อสู้ในครั้งนั้นทำให้คนรักของ[IT]ต้องเสียชีวิตด้วยน้ำมือของศัตรู เหตุการณ์นี้มันได้สร้างเป็นบาดแผลที่ไม่อาจรักษาได้ให้แก่หัวใจของ [NAME]
3	Hối hận	ในการต่อสู้กันด้วยปราณเวท [NAME] ถูกศัตรูโจมตีด้วยคาถาลวงตาและจบลงด้วยการฆ่าสหายภายในสำนักไปเป็นจำนวนมาก สิ่งนี้เป็นฝันร้ายที่ตามหลอกหลอน[IT]มาโดยตลอด
4	Hối hận	ครั้งหนึ่ง [NAME]เคยถูกความโลภครอบงำในตอนที่[IT]พบเจอกับ[LIKEITEM]ในระหว่างที่[IT]กำลังออกผจญภัยไปกับสหายของ[IT] นี่จึงทำให้[IT]จึงได้ตัดสินใจเข้าโจมตีสหายของตนเพื่อแย่งชิงสมบัติชิ้นนั้นมาจนทำให้สหายผู้นั้นได้รับบาดเจ็บสาหัส เหตุการณ์นี้มันได้ทำให้มิตรภาพของพวกเขาต้องขาดสะบั้นไปชั่วนิรันดร์และ[IT]ก็รู้สึกHối hậnเป็นอย่างมากต่อการกระทำของตนเอง น่าเศร้าเรื่องที่เกิดไปแล้วไม่สามารถเปลี่ยนแปลงใดๆ ได้อีก
5	Hối hận	ครั้งหนึ่ง [NAME] เคยชื่นชอบ[HATEITEM]เป็นอย่างมาก ทว่าในขณะที่เข้าไปสำรวจถ้ำเซียนแห่งหนึ่ง[IT]ได้บังเอิญตกหลุมพรางเพราะความโลภในการต้องการครอบครอง[HATEITEM] ในเหตุการณ์นี้ทำให้[IT]ได้สูญเสียสหายรักของ[IT]ไปเพราะสหายคนนั้นได้พยายามช่วยชีวิตของ[IT]เอาไว้ เรื่องนี่ได้กลายเป็นความทุกข์ที่คอยตามหลอกหลอน[IT]มาตลอดเวลา
6	Hối hận	ครั้งหนึ่ง[NAME] เคยชื่นชอบ[HATEITEM]เป็นอย่างมาก ทว่าในการต่อสู้กันด้วยปราณเวท คนรักของ[IT]ได้ถูกสังหารไปในขณะที่[IT]เสียสมาธิไปกับ[HATEITEM] นี่จึงทำให้[IT]รู้สึกHối hậnเกี่ยวกับเรื่องนี้มาตลอดจวบจนถึงทุกวันนี้
7	Lo lắng	ครั้งหนึ่ง [NAME] เคยพลาดช่วงจังหวะสำคัญในการสร้างแก่นทองคำเนื่องจากจิตใจเสียสมาธิจาก[LIKEITEM]จนเกิดการสะท้อนกลับของปราณภายในร่าง สิ่งนี้กลายเป็นเรื่องเยาะเย้ยกันในหมู่ผู้ฝึกตนภายในสำนัก และได้ก่อเกิดเป็นแผลภายในใจของ[IT]
8	Lo lắng	ครั้งหนึ่ง [NAME] ในช่วงที่[IT]กำลังฝึกฝนอยู่ที่สำนักขนาดเล็กแห่งหนึ่ง ในงานเลี้ยงครั้งหนึ่ง[IT]เคยถูกสหายร่วมสำนักเยาะเย้ยซ้ำแล้วซ้ำเล่าด้วย[HATEITEM] ซึ่งเป็นสิ่งที่[IT]เกลียดที่สุด ท้ายที่สุด[IT]ก็ไม่สามารถทนได้อีกต่อไป [IT]ได้ลงมือเข่นฆ่าพวกคนเหล่าไปจนหมดและออกจากสำนักไปในทันที [NAME] ได้เร่ร่อนและซ่อนตัวอยู่นานก่อนที่จะเข้าร่วมสำนักปัจจุบันในที่สุด เหตุการณ์ในครั้งนั้นมันได้ก่อเกิดเป็นเงามืดภายในจิตใจของ[IT]โดยที่ไม่สามารถลบมันออกไปได้
9	Lo lắng	ครั้งหนึ่ง [NAME] ได้ตกหลุมรักสหายร่วมสำนักคนหนึ่งและในงานวันเกิดของคนๆ นั้น[IT]ได้มอบ[LIKEITEM]สิ่งเป็นสิ่งที่เขาชื่นชอบเป็นอย่างมากเพื่อเป็นของขวัญให้กับคนๆ นั้น ทว่านั้นกลับเป็นของที่ฝ่ายตรงข้ามรู้สึกรังเกียจ ด้วยเหตุนี้ หลังจากที่สูญเสียความสัมพันธ์ในครั้งนั้นไป หัวใจของ[IT]จึงได้เกิดเป็นรอยแผลเป็นอย่างไม่มีวันลบเลือน
10	Lo lắng	ครั้งหนึ่ง [NAME] ภูมิใจมากกับของสะสมที่มี[LIKEITEM]จำนวนมาก แต่สหายร่วมสำนักมักจะเยาะเย้ย[IT]เกี่ยวกับเรื่องนี้ จนในที่สุด [NAME] ก็ไม่สามารถทนได้อีกต่อไปอีกต่อไป [IT]ได้ตัดสินใจหลอกล่อคนเหล่านั้นให้ออกมาจากสำนักและได้ลงมือสังหารทิ้งอย่างโหดเหี้ยม สิ่งนี้กลายเป็นเรื่องต้องห้ามภายในใจของ [NAME]
