祝贺	Congrats!
房间	Room
仓库	Storage
蓝布休闲衣衫	Blue Fabric Casual Shirt
野猪皮休闲下裳	Casual Pants
紫布修行衣衫	Purple Fabric Sect Uniform
野猪皮修行下裳	Boar Hide Cultivator Pants
肉干	Dried Meat
灵石墙	Spirit Stone Wall
灵石门	Spirit Stone Door
灵石床	Spirit Stone Bed
灵石灯笼	Spirit Stone Lantern
雌龟	Female Turtle
雄龟	Male Turtle
雌青蛙	Female Frog
雄青蛙	Male Frog
<font color=MYCOLOR>钟离舒</font>因<font color=OBJCOLOR>心境中正</font>心情不错，忍不住来<font color=OBJCOLOR>凝神望天</font>抒怀。	<font color=MYCOLOR>Zhongli Shu</font> is in a good mood due to <font color=OBJCOLOR>'Balanced Mindset'</font> and can't help but <font color=OBJCOLOR>gaze at the sky</font> to express [HIS] feelings.
1天 12:15	1d 12:15
钟离	Zhongli
舒	Shu
惊魂初定	Soul-Shock Initial Calm
田纨	Tian Wan
和	He
慕容	Murong
碧彤	Bitong
<font color=MYCOLOR>田纨</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>田婉</font>喜欢<font color=OBJCOLOR>晴天</font>
1天 09:56	1d 09:56
田	Tian
纨	Wan
钟离舒	Zhongli Shu
博	Bo
冯	Feng
亦云	Yiyun
支	Zhi
飞扬	Feiyang
存档写入完成	Game Saved
钮影感到危险	Niu Ying Senses Danger
钟离舒筑基成功	Zhong Lishu succeeded in laying foundation.
田纨筑基成功	Tian Zhi succeeded in laying foundation.
药物储量不足	Insufficient medicine reserves.
行商洪平到了	Merchant Hong Ping Arrives
行商夹谷腾到了	Merchant Jiagu's Arrival
田纨遇到瓶颈	Tian Zhi reached a limit.
田纨突破瓶颈成功	Tian Wan successfully breaks through the bottleneck
钟离舒突破瓶颈成功	Zhongli Shu successfully broke through the bottleneck
钟离舒遇到瓶颈	Zhong LiShu reached a limit.
化影诀	Shadow Transformation Formula
太乙不朽神雷	Taiyi Immortal Divine Thunder
坤元秘要	Earthly Origin Secret
少量的	Slightly
千钧	Thousand Jun
混元式	Hybrid Form
苍龙迅击密卷	Azure Dragon Swift Strike Scripture
中量的	Visibly
微草归祖神功	Tiny Grass Return to Ancestry Divine Art
甲乙鲸吞秘要	Secret Essentials of Jia-Yi Devouring
紫云宫神视纪要	Purple Cloud Palace's Divine Vision Summary
大量的	Greatly
天妖化血术	Heavenly Demon Blood Transformation
忘情佛心记	Heartless Buddha Heart Record
太阴锻体	Lunar Forging Body
少阴锻体	Body Forging of Lesser Yin
玄阴锻体	Body Forging of Profound Yin
瞬形法	Instant Form Method
九幽炼神	Nine Nethers Spirit Refinement
太虚神盾	Great Void Divine Shield
少阴诀	Lesser Yin Formula
玄阴诀	Profound Yin Formula
幽狱诀	Nether Prison Technique
坤元真气	Earthly Origin True Qi
一剑	One Sword
秘宝：一剑	Treasure: Single Sword
神行术	Divine Movement Technique
九州大法	Nine Provinces Great Method
辟邪真法	Evil-Warding True Method
幽剑	Phantom Sword
地母玄经	Mystic Scripture of Earth Mother
凝珀诀	Amber Condensation Formula
摄神御鬼大法	Spirit-Capture Ghost Control Art
尘暴术	Dust Storm Technique
玄牝重生法	Mystic Feminine Rebirth Method
八极炼形诀	Eight Extremities Body Refinement
灵视神观	Spiritual Vision Divine Observation
太虚元罡	Great Void Primordial Gang
瞬霎诀	Instant Flash Technique
太阴诀	Lunar Formula
渊狱诀	Abyss Prison Formula
通幽秘传	Secret Transmission of Nether Passage
幽淬之法	Ghostly Tempering Technique
灵淬之法	Spirit Refinement Method
厚德篇	Virtuous Chapter
虚空谒神法	Void God-Invoking Method
坏灭诀	Annihilation Technique
再造形神之术	Body-Spirit Reformation Art
天道神丹	Divine Elixir of Heavenly Dao
天道神器	Divine Artifact of Heavenly Dao
化伤术	Wound Transformation Art
驱云诀	Cloud-Dispelling Technique
金乌观	Golden Crow Observation
先天罡气	Innate Gang Qi
五内蕴火	Five Viscera Hidden Fire
焚日真法	True Sunfire Method
九阳神火界	Nine Yang Divine Fire Realm
心炎	Heart Blaze
火真之体	True Fire Body
天火同人	Celestial Fire Union
落花诀	Falling Blossom Technique
未来星宿绝杀神雷	Future Constellations' Annihilating Divine Thunder
摄神	Spirit Capture
天岭鲸吞神功	Celestial Ridge Devouring Art
百草阁摄神书	Hundred Herbs Pavilion Soul-Snatching Tome
六气神农通卷	Six Qi Divine Farmer Compendium
海量的	Massively
太乙多宝通卷	Taiyi Treasure Compendium
再造术	Rebuilding Art
灵犀咒	Soul Resonance Curse
缑家摄神书	Gou Family Spirit-Snatching Tome
九极咒	Nine Extremes Curse
东华七星咒	Eastern Glory Seven Stars Curse
坤元秘诀	Kun Yuan Secret Art
坤元十式	Ten Forms of Kun Yuan
破灭密卷	Secret Scroll of Annihilation
百草阁破灭剑	Hundred Herb Hall Annihilation Sword
炎神殿万古要诀	Flame God Hall's Eternal Key
朱雀多宝密卷	Vermilion Bird Treasure Scroll
燃魂辟谷纪要	Soulburn Fasting Compendium
丙火神龟	Bing Fire Divine Turtle
星辰清心	Stellar Serene Mind
焚日归藏宝典	Burning Sun Return Canon
吸星掌	Star-Sucking Palm
入定之术	Art of Meditation
五印刻神	Spirit Engraving of Five Seals
归真曳影	Flickering Shadow of Truth Return
三阳真脉	Three Yang True Meridians
御真秘典	Secret Canon of Imperial Truth
烈焰决	Blazing Flame Technique
净火灼心	Heart Scorching of Pure Fire
