房间	Room
仓库	Storage
熊皮薄衣衫	Bear Hide Thin Shirt
靛蓝布修行下裳	Indigo Fabric Cultivator Pants
狼皮薄衣衫	Wolf Hide Thin Shirt
熊皮休闲下裳	Bear Hide Casual Pants
紫布修行衣衫	Purple Fabric Sect Uniform
黄布薄下裳	Yellow Fabric Thin Pants
可以提高视野范围，并提高历练时发现新地点的速度。	"Talisman used to improve range of views, and reduce time spent discovering a new location in adventure."
松豪	Pine Hero
千里神视符	Talisman of Foreseer
寒精弓	Ice Essence Bow
木农具	Farming Tool
黄布修行衣衫	Yellow Fabric Sect Uniform
蓝布修行下裳	Blue Fabric Cultivator Pants
南海神视纪要	South Sea Divine Sight Summary
可以轻微提高炼制法宝的品阶。	Used to slightly raise the tier of crafted artifact.
五方灵宝符	Wonder Talisman
野猪皮	Boar Hide
麒麟天心罩	Kirin Heavenly Heart  Barrier
棉花	Cotton
甲乙丝	Eastern  Damask
面饼	Bread
戊己天罡饼	Central The Big Dipper Pancake
牛皮休闲下裳	Casual Pants
木弓	Bow
莲藕	Lotus Root
壬水七魄藕	Cascade Seven Souls Lotus Root
符纸	Talisman Paper
青龙道德符	Azuragon Moral Talisman
大理石砖	Marble Block
戊土魂圭	Grim Soul  Boulder
野猪皮修行衣衫	Sect Uniform
靛蓝布薄下裳	Indigo Fabric Thin Pants
紫薇鬼手秘传	Crape Myrtle Ghost Hand Secret Method
狼肉	Wolf Meat
行疆荡魔幕	Trekking Evil Exorcising  Tablecloth
虎皮	Tiger Hide
戊土戮血革	Grim Slaughter Leather
肉干	Dried Meat
干锅田鸡	Crispy & Spicy Frog Legs
牛皮休闲衣衫	Casual Shirt
狼皮修行下裳	Wolf Hide Cultivator Pants
可以轻微提高炼制丹药的产量。	Used to slightly raise yield of Alchemy.
万化承丹符	Impermanence Talisman
黄布厚制衣衫	Winter Shirt
苍莽千光甲	Colossal Thousand Rays Clothes
棕石	Brownstone
地龙圭	Groundragon  Tower
玉石墙	Jade Wall
灵石墙	Spirit Stone Wall
灵石门	Spirit Stone Door
灵石床	Spirit Stone Bed
灵石灯笼	Spirit Stone Lantern
灵石水缸	Spirit Stone Water Vat
梧桐木水井	Parasol Wood Well
灵晶墙	Spirit Crystal Wall
灵晶门	Spirit Crystal Door
梧桐木床	Parasol Wood Bed
梧桐木法座	Parasol Wood Qi Cushion
梧桐木琴台	Parasol Wood Zither Table
梧桐木小方桌	Parasol Wood Square Table
火铜床	Igneocopper Bed
火铜法座	Igneocopper Qi Cushion
火铜琴台	Igneocopper Zither Table
火铜小方桌	Igneocopper Square Table
寒精置物台	Ice Essence Display
火铜置物台	Igneocopper Display
梧桐木灯笼	Parasol Wood Lantern
梧桐木藏经阁书架	Parasol Wood Manual Pavilion
梧桐木屏风	Parasol Wood Folding Screen
梧桐木梳妆台	Parasol Wood Dressing Table
寒晶灯笼	Ice Crystal Lantern
寒晶屏风	Ice Crystal Folding Screen
寒晶梳妆台	Ice Crystal Dressing Table
天柱石法座	Holy Stone Qi Cushion
火铜灯笼	Igneocopper Lantern
火铜梳妆台	Igneocopper Dressing Table
火铜屏风	Igneocopper Folding Screen
寒晶藏经阁书架	Ice Crystal Manual Pavilion
火铜藏经阁书架	Igneocopper Manual Pavilion
火精墙	Fire Essence Wall
梧桐木墙	Parasol Wood Wall
棕石床	Brownstone Bed
棕石小方桌	Brownstone Square Table
棕石琴台	Brownstone Zither Table
寒精墙	Ice Essence Wall
寒精灯笼	Ice Essence Lantern
家常菜	Home Cooking
天柱石炉灶	Holy Stone Stove
火精灯笼	Fire Essence Lantern
玄铁灯笼	Darksteel Lantern
寒精门派石碑	Ice Essence Sect Stele
寒精观星台	Ice Essence Observatory
傀儡停放点	Vessel Spot
<font color=MYCOLOR>仰厚</font>在割除<font color=OBJCOLOR>野草</font>时，脑海中突然浮现<font color=OBJCOLOR>轩辕士</font>的模样。	<font color=MYCOLOR>Yang Hou</font> suddenly envisioned the figure of <font color=OBJCOLOR>Xuanyuan</font> while clearing <font color=OBJCOLOR>wild grass</font>.
1天 20:49	1d 20:49
<font color=MYCOLOR>仰厚</font>抿了抿嘴。	<font color=MYCOLOR>Yanghou</font> pursed [ENHIM] lips.
3天 12:45	3d 12:45
<font color=MYCOLOR>仰厚</font>很喜欢<font color=OBJCOLOR>工作</font>。	<font color=MYCOLOR>杨侯</font>喜欢<font color=OBJCOLOR>工作</font>
4天 02:32	4d 02:32
<font color=MYCOLOR>仰厚</font>看到<font color=HECOLOR>轩辕士</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Yang Hou</font> spotted <font color=HECOLOR>Xuanyuan Shi</font> approaching from afar and waved to greet [HIM].
4天 07:18	4d 07:18
<font color=MYCOLOR>仰厚</font>突然觉得右眼跳了跳。	<font color=MYCOLOR>Yang Hou</font> suddenly felt [POSSESSIVE] right eye twitch.
4天 16:28	4d 16:28
<font color=MYCOLOR>仰厚</font>不知道怎么回事，莫名其妙发了发呆。	<font color=MYCOLOR>Yang Hou</font> inexplicably spaced out for no apparent reason.
6天 12:05	6d 12:05
<font color=MYCOLOR>仰厚</font>看到<font color=HECOLOR>程雪青</font>打老远过来，就向她挥了挥手，打了个招呼。	<font color=MYCOLOR>Yang Hou</font> spotted <font color=HECOLOR>Cheng Xueqing</font> approaching from afar and waved to greet [HER].
7天 06:34	7d 06:34
7天 14:24	7d 14:24
<font color=MYCOLOR>仰厚</font>正沉浸在<font color=OBJCOLOR>温度舒适</font>的喜悦中。他忍不住拉着<font color=HECOLOR>轩辕士</font>好好的聊了聊，向他分享这份心情。此次谈心，俩人觉得关系更近了一步。	"<font color=MYCOLOR>Hou Yang</font> was basking in the joy of <font color=OBJCOLOR>perfect temperature</font>. Compelled to share, [THEY] eagerly shared this feeling with <font color=HECOLOR>Xuanyuan Shi</font>. Their heart-to-heart brought them closer."
7天 14:45	7d 14:45
仰	Yang
厚	Hou
新家园	New Homeland
轩辕士	Xuanyuan Scholar
建立门派	Establish a Sect
名声大震	Resounding Fame
赫赫威名	Illustrious Reputation
致	Zhi
景	Jing
依白	Yibai
公	Gong
友菱	Youling
<font color=MYCOLOR>程雪青</font>在割除<font color=OBJCOLOR>长草</font>时满怀动力，她觉得这也是修行的一环。	"<font color=MYCOLOR>Cheng Xueqing</font> felt highly motivated while <font color=OBJCOLOR>cutting long grass</font>, believing it to be part of cultivation."
1天 17:07	1d 17:07
<font color=MYCOLOR>程雪青</font>好像听到有谁在喊自己的名字。	<font color=MYCOLOR>Cheng Xueqing</font> thought [POSSESSIVE] heard someone call [POSSESSIVE] name.
1天 19:13	1d 19:13
4天 03:02	4d 03:02
<font color=MYCOLOR>程雪青</font>突然觉得右眼跳了跳。	<font color=MYCOLOR>Cheng Xueqing</font> suddenly felt [POSSESSIVE] right eye twitch.
5天 08:02	5d 08:02
<font color=MYCOLOR>程雪青</font>有些关于<font color=OBJCOLOR>工作</font>的事想找人聊聊，	<font color=MYCOLOR>Cheng Xueqing</font> wants to discuss something about <font color=OBJCOLOR>work</font> with someone
5天 17:31	5d 17:31
<font color=MYCOLOR>程雪青</font>看到<font color=HECOLOR>仰厚</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Cheng Xueqing</font> spotted <font color=HECOLOR>Yang Hou</font> approaching from afar and waved to greet [HIM].
6天 19:47	6d 19:47
<font color=MYCOLOR>程雪青</font>打了个哈欠。	<font color=MYCOLOR>Cheng Xueqing</font> yawned.
7天 05:17	7d 05:17
晨光初露，<font color=MYCOLOR>程雪青</font>看<font color=HECOLOR>仰厚</font>好像正无聊，就拉着他聊了聊关于<font color=OBJCOLOR>灵晶地板</font>的事。	"At dawn's first light, <font color=MYCOLOR>Cheng Xueqing</font> noticed <font color=HECOLOR>Yang Hou</font> seemed bored, so struck up a conversation about <font color=OBJCOLOR>Spirit Crystal Flooring</font>."
7天 06:42	7d 06:42
8天 19:53	8d 19:53
日暮时分，<font color=MYCOLOR>程雪青</font>正在<font color=OBJCOLOR>工作</font>。看<font color=HECOLOR>轩辕士</font>从旁边经过，就抬手打了个招呼。但<font color=HECOLOR>轩辕士</font>面无表情的看了一眼，并没有回应，这让<font color=MYCOLOR>程雪青</font>心里一堵。	"At dusk, <font color=MYCOLOR>Cheng Xueqing</font> was <font color=OBJCOLOR>working</font>. Seeing <font color=HECOLOR>Xuanyuan</font> pass by, she waved at him. However, <font color=HECOLOR>Xuanyuan</font> merely glanced at her expressionlessly without responding, which left <font color=MYCOLOR>Cheng Xueqing</font> feeling a bit upset."
8天 20:22	8d 20:22
程	Cheng
雪青	Xueqing
香酥田鸡腿	Crispy Field Frog Legs
胜	Sheng
贺	He
珊	Shan
毕	Bi
绍	Shao
<font color=MYCOLOR>轩辕士</font>踩到了什么东西。	<font color=MYCOLOR>Xuanyuan Shi</font> stepped on something.
1天 10:07	1d 10:07
<font color=MYCOLOR>轩辕士</font>打了个嗝。	<font color=MYCOLOR>Xuanyuan Shi</font> burped.
3天 06:27	3d 06:27
<font color=MYCOLOR>轩辕士</font>看到<font color=HECOLOR>仰厚</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Xuanyuan Shi</font> spotted <font color=HECOLOR>Yang Hou</font> approaching from afar and waved to greet [HIM].
<font color=MYCOLOR>轩辕士</font>鞋里进了东西。	<font color=MYCOLOR>Xuanyuan Shi</font> got something in [ITS] shoe.
4天 15:45	4d 15:45
<font color=MYCOLOR>轩辕士</font>想把<font color=OBJCOLOR>千里神视符</font>换掉。	<font color=MYCOLOR>Xuanyuan Shi</font> wants to replace <font color=OBJCOLOR>Talisman of Foreseer</font>.
5天 09:25	5d 09:25
<font color=MYCOLOR>轩辕士</font>想把<font color=OBJCOLOR>紫布修行衣衫</font>清洁一下。	<font color=MYCOLOR>Xuanyuan Shi</font> wants to clean the <font color=OBJCOLOR>Purple Fabric Sect Uniform</font>.
6天 12:38	6d 12:38
华灯初上，<font color=MYCOLOR>轩辕士</font>刚刚吃饱喝足，正满意的拍肚子，看到<font color=HECOLOR>程雪青</font>刚好在旁边，就和她打了个招呼。但没想到<font color=HECOLOR>程雪青</font>却并不想理他，这让<font color=MYCOLOR>轩辕士</font>觉得很尴尬。	"As the lanterns lit up the evening, <font color=MYCOLOR>Xuanyuan</font>, having just had a satisfying meal, patted his belly contentedly. Spotting <font color=HECOLOR>Cheng Xueqing</font> nearby, he greeted her. To his surprise, <font color=HECOLOR>Cheng Xueqing</font> ignored him, leaving <font color=MYCOLOR>Xuanyuan</font> feeling awkward."
轩辕	Xuanyuan
士	Shi
仰厚	Respectful Thickness
程雪青	Cheng Xueqing
兴业	Xingye
言	Yan
诗蕊	Shirui
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点冷</font>的情绪困扰，只能<font color=OBJCOLOR>随便看看</font>来放空心灵。	"<font color=MYCOLOR>Dong Zhirou</font> was troubled by a <font color=OBJCOLOR>slight chill</font> in [HER] mood, and could only <font color=OBJCOLOR>let [HER] gaze wander</font> to clear [HER] mind."
4天 21:39	4d 21:39
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	"Under a clear sky, <font color=MYCOLOR>Dong Zhirou</font> suddenly gave a deep sigh while <font color=OBJCOLOR>observing the ever-changing clouds</font>."
5天 09:54	5d 09:54
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	"Under cloudless skies, <font color=MYCOLOR>Dong Zhirou</font> suddenly shed tears while <font color=OBJCOLOR>observing stars at night</font>."
6天 02:33	6d 02:33
<font color=MYCOLOR>董之柔</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	"<font color=MYCOLOR>Dong Zhirou</font>, delighted by <font color=OBJCOLOR>vibrant surroundings</font>, impulsively played <font color=OBJCOLOR>music</font> to vent joy."
6天 09:33	6d 09:33
天朗气清，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	"On a clear and bright day, <font color=MYCOLOR>Dong Zhirou</font> was suddenly lost in thought while <font color=OBJCOLOR>reading and savoring texts</font> alone."
6天 13:08	6d 13:08
天朗气清，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲董明</font>。	"On a clear day, <font color=MYCOLOR>Dong Zhirou</font> quietly <font color=OBJCOLOR>played music</font> and suddenly remembered [HER] <font color=OBJCOLOR>father Dong Ming</font>."
7天 10:12	7d 10:12
绿荫之下，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>观云卷云舒</font>，突然想起自己的<font color=OBJCOLOR>父亲董明</font>。	"Beneath verdant shade, <font color=MYCOLOR>Dong Zhirou</font> quietly <font color=OBJCOLOR>watched the drifting clouds</font> when memories of <font color=OBJCOLOR>his/her father Dong Ming</font> unexpectedly arose."
7天 14:22	7d 14:22
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Dong Zhirou</font> is troubled by the emotion of <font color=OBJCOLOR>needing a weapon</font> and can only <font color=OBJCOLOR>play music</font> to clear [their] mind.
8天 13:02	8d 13:02
万里无云，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	"Under cloudless skies, <font color=MYCOLOR>Zhirou</font> was alone <font color=OBJCOLOR>performing music cultivation</font> when [HER] was suddenly lost in thought."
8天 14:00	8d 14:00
董	Dong
之柔	Zhirou
明	Ming
郎	Lang
凌春	Lingchun
陈	Chen
慵醉	Yongzui
江南罩	JiangNan Cover
松柏之侧，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>肉干</font>。	"Beside pine trees, <font color=MYCOLOR>Jiang Long</font> suddenly craves <font color=OBJCOLOR>Dried Meat</font> while <font color=OBJCOLOR>observing [HIS] surroundings</font>."
4天 13:54	4d 13:54
生气苏始，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	"At daybreak, <font color=MYCOLOR>Jiang Long</font> suddenly let out a long sigh while <font color=OBJCOLOR>perusing scrolls</font>."
5天 07:43	5d 07:43
<font color=MYCOLOR>姜龙</font>被<font color=OBJCOLOR>突然小难过</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Jiang Long</font> is troubled by the emotion of <font color=OBJCOLOR>sudden sadness</font> and can only <font color=OBJCOLOR>play music</font> to clear [their] mind.
6天 00:09	6d 00:09
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	"Within the sect, <font color=MYCOLOR>Jiang Long</font> found the adjacent <font color=OBJCOLOR>Spirit Stone Wall</font> curiously interesting while <font color=OBJCOLOR>studying scrolls</font>.."
6天 06:06	6d 06:06
天朗气清，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，脑海中突然浮现<font color=OBJCOLOR>百里眉</font>的模样。	"On a bright and clear day, while <font color=MYCOLOR>Jiang Long</font> is <font color=OBJCOLOR>reading and savoring scrolls</font>, the image of <font color=OBJCOLOR>Baili Mei</font> suddenly flashes through [HIS] mind."
7天 00:12	7d 00:12
起更之时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然想吃<font color=OBJCOLOR>蛙肉</font>。	"At nightfall, <font color=MYCOLOR>Jiang Long</font> developed a craving for <font color=OBJCOLOR>frog meat</font> while <font color=OBJCOLOR>watching clouds drift</font>."
7天 20:50	7d 20:50
生气苏始，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然流下眼泪。	"As vitality stirred at dawn, <font color=MYCOLOR>Jiang Long</font> suddenly tears welled up while <font color=OBJCOLOR>watching the clouds drift</font>."
8天 08:09	8d 08:09
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>牛肉</font>。	"Within the sect, <font color=MYCOLOR>Jiang Long</font> suddenly desired <font color=OBJCOLOR>bull meat</font> while <font color=OBJCOLOR>playing music</font>."
8天 12:17	8d 12:17
万里无云，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	"Under cloudless skies, <font color=MYCOLOR>Jiang Long</font> teared up during <font color=OBJCOLOR>performing music</font>."
8天 13:14	8d 13:14
天朗气清，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	"On a bright day, <font color=MYCOLOR>Jiang Long</font> found the adjacent <font color=OBJCOLOR>Spirit Stone Wall</font> fascinating while <font color=OBJCOLOR>staring at the ceiling</font>.."
8天 15:26	8d 15:26
夜深人静，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>夜观星象</font>时，突然觉得旁边的<font color=OBJCOLOR>野草</font>很有意思……	"In the stillness of night, <font color=MYCOLOR>Jiang Long</font> suddenly found the nearby <font color=OBJCOLOR>weeds</font> curious while <font color=OBJCOLOR>stargazing</font>.."
8天 22:35	8d 22:35
姜	Jiang
龙	Long
师父	Master
赏	Shang
寄瑶	Jiyao
思淼	Simiao
申	Shen
语琴	Yuqin
保	Bao
建	Jian
百里	Baili
眉	Mei
落木尊者	Wood Deity
晴空万里，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	"Under clear skies, <font color=MYCOLOR>Baili Mei</font> suddenly shed tears while <font color=OBJCOLOR>contemplating the heavens</font>."
7天 18:34	7d 18:34
<font color=MYCOLOR>百里眉</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>赏月</font>来放空心灵。	<font color=MYCOLOR>Baili Mei</font> is troubled by the emotion <font color=OBJCOLOR>'Need Weapon'</font> and can only <font color=OBJCOLOR>admire the moon</font> to clear [HIS] mind.
7天 22:50	7d 22:50
徒弟	Disciple
西岭	Xiling
颛孙	Zhuansun
眸微	Mouwei
修罗陀	Asura Wheel
姜龙	Jiang Long
傀儡	Vessel
董之柔	Dong Zhirou
百里眉	Baili Eyebrow
席	Xi
信	Xin
才	Cai
长孙	Zhangsun
晓夏	Xiaoxia
江南散人	JiangNan Cult
教学	Teaching
门	School
存档写入完成	Game Saved
松豪遇到瓶颈	Song Hao Hits a Bottleneck
食物储量不足	Insufficient food reserves.
仰厚需要砍伐工具	Yang Hou needs a tool for chopping
药物储量不足	Insufficient medicine reserves.
轩辕士：受伤	Xuanyuan Shi: hurt.
出现镇物！	Warding Object Appeared!
董之柔心境不稳	Dong Zhirou's mental state is unstable
姜龙心境不稳	Jiang Long's Mind is Unstable
天下传闻	World Adventure
天苍246年 春 第12日	Tiancang Year 246 Spring Day 12
据传合欢派的大能清羽兰在南屏村出没。	It's said the mighty Qing Yulan of Joyous Union Sect has been spotted in Nanping Village.
据传昆仑宫近日革新了门派律法，重新划分各个堂口，整个门派焕然一新。门派实力大增。	"It's said the Kunlun Palace recently reformed their sect laws, reorganizing all divisions. The entire sect has been revitalized, with strength significantly enhanced."
天苍246年 春 第16日	Tiancang Year 246 Spring Day 16
据传紫霄宗的大能宰璧在南屏村出没。	It's said the mighty Zai Bi of Zixiao Sect has been spotted in Nanping Village.
轩辕士感到危险	Xuanyuan Shi senses danger
百里眉心境不稳	Baili Mei's mental state is unstable
百里眉拜董之柔为师	Baili Mei became Disciple of Zhirou
姜龙拜百里眉为师	Jiang Long becomes Baili Mei's disciple
