金丝木弓	Goldwood Bow
天婵斩仙弓	Heavenly Grace Immortal Slaying Bow
梧桐神木	Phoenixwood
长生玄光桩	Longevity Dark Light  Branch
佩戴者可以提高寿元，远离疾瘴。恭祝各位新春快乐，万事如意！	Used to raise lifespan and immunity to diseases for whomever wears it. Happy Spring Festival and all the best!
万寿图	Illustration of Everlasting Longevity
佩戴者可以提高神国信仰获取加成。	Increases the wearer's Belief Gains Bonus.
神感符	Divine Perception
佩戴者可以提高抵御水属性伤害之力。	Increases the wearer's resistance to Water Damage.
水甲符	Waterarmor Talisman
灵石玄阴圣泉	Spirit Stone Sacred Yin Spring
灵石轻纱灯	Spirit Stone Veiled Lamp
角色出生点	Character Spawn Point
逻辑点	Logic Point
祝	Zhu
嬛	Huan
寂离	Jili
李	Li
语风	Yufeng
倾国之玄女 · 灭界之妖姬	Kingdom-Felling Mystic · Apocalypse Enchantress
坤元流光诀	Kun Yuan Radiance Art
李晓曼真人五方咒	Real Person Li Xiaoman's Five Directions Curse
武当清心咒	Wudang Clarity Curse
壬水天星	Ren Water Heavenly Star
本源陨星诀	Primordial Falling Star Formula
紫薇流光神雷	Purple Star Radiance Divine Thunder Technique
紫云宫覆灭	Purple Cloud Palace Annihilation
鸿蒙五气咒	Primordial Chaos Five Qi Curse
寒月飞星真言	Cold Moon Shooting Star Mantra
惊波流光	Startling Wave Flowing Light
癸水流光	Flowing Light of Gui Water
贵客远道而来，何不入此泉洗去这一身风尘戾气？	"Honored cultivator from afar, why not bathe in this spring to wash away the dust and malice of your journey?"
哎，就一定要打扰本宫沐浴嘛？那一定要小施惩戒了……	"Sigh, must you disturb this royal one's bath? Then a minor punishment is in order.."
软弱的心	Soft Heart
法宝威力和体修防御进攻强度降低	Magic item power and physical cultivation defense/offense strength reduced
此地原为合欢派长老在别处修建的分堂，弥漫桃花瘴气，令人浑身酥软，无力反抗。	"This was originally a branch hall built elsewhere by a Harmony Joy Sect elder. Peach Blossom Miasma permeates the area, sapping all strength and will to resist."
