ID	Txt
ID	[Content]
1	ท่านเทพ [TITLE] ผู้ยิ่งใหญ่ ข้าแค่จะลองดูว่าท่านได้ยินข้าหรือไม่...ฮิฮิ
2	ท่านเทพ [TITLE] ผู้ยิ่งใหญ่ ข้าขอวิงวอนให้ปัญหาข้อเข่าหมดไป
3	ท่านเทพ [TITLE] ผู้ยิ่งใหญ่ ได้โปรดอวยพรข้า ข้าอยากไปเที่ยวกับหญิงสาวที่ข้าแอบชอบ
4	ท่านเทพ [TITLE] ผู้ยิ่งใหญ่ ข้าขอวิงวอนให้พรุ่งนี้ข้ามีอาหารดีๆ ทาน...
5	ท่านเทพ [TITLE] ผู้ยิ่งใหญ่ ข้าต้องการที่จะเจอเงินบนพื้นดิน
6	ท่านเทพ [TITLE] ผู้ยิ่งใหญ่ ข้าขอวิงวอนให้พรุ่งนี้ไม่มีใครมาแย่งแม่นางหลู่จู๋ตัดหน้าข้าที่หอนางโลมบุปผาหยก
7	ท่านเทพ [TITLE] ผู้ยิ่งใหญ่ ข้าขอวิงวอนให้ผู้จัดการจะจ่ายเงินเดือนให้ข้าเต็มจำนวนในวันพรุ่งนี้
8	ท่านเทพ [TITLE] ผู้ยิ่งใหญ่ ข้าหวังว่าจะมีใครบางคนมาฉลองวันเกิดเป็นเพื่อนข้าในปีนี้
9	ท่านเทพ [TITLE] ผู้ยิ่งใหญ่ ข้าขอวิงวอนให้ข้าจะสามารถสอบจอหงวนผ่านในปีนี้
10	ท่านเทพ [TITLE] ผู้ยิ่งใหญ่ ข้าขอวิงวอนให้เราได้ลูกชายในครั้งนี้
11	ท่านเทพ [TITLE] ผู้ยิ่งใหญ่ ข้าขอวิงวอนให้ครอบครัวของข้าอยู่ดีมีสุข
12	ท่านเทพ [TITLE] ผู้ยิ่งใหญ่ ข้าขอวิงวอนให้ปีนี้ได้ผลผลิตที่ดี
13	ท่านเทพ [TITLE] ผู้ยิ่งใหญ่ ข้าขอวิงวอนให้ข้าสามารถซื้อบ้านใหม่ในเมืองนี้ได้ในปีนี้
