蓝布薄衣衫	Blue Fabric Thin Shirt
牛皮薄下裳	Bull Hide Thin Pants
木刀	Wood Blade
兔肉	Rabbit Meat
镇岳辟邪幕	Hill Fall Evil Deterring Meatstew
狼皮薄衣衫	Wolf Hide Thin Shirt
熊皮薄下裳	Bear Hide Thin Pants
棕石弓	Brownstone Bow
奇怪的蘑菇	Strange Mushroom
青龙篮	Azuragon  Mushroom
花布修行衣衫	Patterned Fabric Sect Uniform
野猪皮修行下裳	Boar Hide Cultivator Pants
火精锤	Fire Essence Mace
观音土	Guanyin Clay
己土磨骨灵宝	Dismal Bone Grinding Numinous Treasure
虎皮修行衣衫	Tiger Hide Sect Uniform
蓝布修行下裳	Blue Fabric Cultivator Pants
玄铁刀	Blade
五雷炽魂刀	Five Thunders Flame Spirit Blade
红布修行衣衫	Red Fabric Sect Uniform
狼皮修行下裳	Wolf Hide Cultivator Pants
棕石长枪	Brownstone Spear
蓝布厚制下裳	Winter Pants
苍莽流星甲	Colossal Falling Star  Robe
熊皮薄衣衫	Bear Hide Thin Shirt
狼皮休闲下裳	Wolf Hide Casual Pants
佩戴者可以提高法宝回灵倍率。	Increases the wearer's Artifact Qi Recovery Multiplier.
灵剑符	Spiritsword Talisman
莲藕	Lotus Root
天权极光藕	Megrez Aurora Lotus Root
黄布薄衣衫	Yellow Fabric Thin Shirt
红布薄下裳	Red Fabric Thin Pants
木锤	Wood Mace
牛皮休闲衣衫	Casual Shirt
坤元御	Earthbound  Shirt
花布薄衣衫	Patterned Fabric Thin Shirt
黑布修行下裳	Black Fabric Cultivator Pants
化形通慧	Shapeshifting Perceptive
虎皮休闲下裳	Casual Pants
戊土天府御	Grim Heavenly Abode  Robe
被封印的凶凤之卵	Phoenix Egg
小乾坤界-门户	Mini Universe Gate
灵石腾龙柱	Spirit Stone Dragonrising Pillar
角色出生点	Character Spawn Point
逻辑点	Logic Point
闵	Min
姬	Ji
全	Quan
高	Gao
香柏	Xiangbai
飞扬	Feiyang
维	Wei
逆浪尊者	Adverse Wave Venerable
宰	Zai
盼山	Panshan
康	Kang
袁	Yuan
秀	Xiu
太初居士	Primordial Recluse
林	Lin
笑白	Xiaobai
航	Hang
笪	Da
盼兰	Panlan
郑	Zheng
雪柳	Xueliu
弘	Hong
苗宣	Miaoxuan
翻江飞鹰	River-Turning Flying Eagle
毋	Wu
锦	Jin
学	Xue
费	Fei
代芹	Daiqin
紫火刀	Purple Flame Blade
终	Zhong
凡松	Fansong
安	An
项	Xiang
映之	Yingzhi
陆	Lu
春	Chun
三头金剑	Three-Headed Golden Sword
殷	Yin
芳	Fang
俏银狐	Silver Fox
邓	Deng
寒松	Hansong
才	Cai
裘	Qiu
叶	Ye
莫	Mo
文	Wen
扶	Fu
墨竹	Mozhu
赤脚尊者	Barefoot Venerable
齐	Qi
晓曼	Xiaoman
兴思	Xingsi
沈	Shen
巧风	Qiaofeng
於	Yu
强	Qiang
演道飞狐	Path-Displaying Flying Fox
赋灵术	Spirit Infusion Art
五泉涤心法	Five Springs Heart-Cleansing Method
先天罡气	Innate Gang Qi
化伤术	Wound Transformation Art
求雨术	Rain-Summoning Art
甘霖术	Sweet Dew Art
风水鉴定	Geomancy Appraisal
太和御气诀	Great Harmony Qi-Control Art
清心咒	Serene Heart Curse
御木诀	Wood Control Formula
天霖诀	Heavenly Rain Formula
天水化伤术	Heavenly Water Wound-Transformation Art
天一真法	True Method of Tian Yi
采水诀	Water-Gathering Technique
入定之术	Art of Meditation
水镜观心定	Water Mirror Heart-Calming Method
灵息诀	Spirit Breath Technique
玄牝重生法	Mystic Feminine Rebirth Method
乘风诀	Wind-Riding Formula
同风诀	Shared Wind Technique
奔流诀	Torrent Technique
归海诀	Sea-Return Technique
水精真形	Water Essence True Form
水气真形	Water Qi True Form
水神真形	Water God's True Form
暴雨术	Rainstorm
九阴真水界	Nine Yin True Water Realm
玄魂造命	Mystic Soul Life Creation
罡煞合流	Convergence of Gangsha
醍醐灌顶之术	Enlightenment Bestowal Technique
天道神丹	Divine Elixir of Heavenly Dao
天道神器	Divine Artifact of Heavenly Dao
通符书	Talismanic Codex
云气汇流	Cloud Qi Convergence
剑符录	Sword Talisman Record
神剑符	Divinesword Talisman
玄符录	Mystic Talisman Record
天甲符	Heavenarmor Talisman
咒符录	Curse Talisman Record
神咒符	Divine Curse Talisman
结云经	Cloud-Binding Sutra
祈天经	Heaven-Praying Scripture
通天符法	Heavensent Talisman Method
