Name	DisplayName	Tips
		 
DisplayName	ชื่อที่แสดง	ชื่อไอเทม
Desc	คำอธิบาย	คำอธิบายไอเทม
Element	ธาตุทั้งห้า	ค่าสถานะธาตุทั้งห้าของไอเทม
Rate	ระดับชั้น	ระดับชั้นของไอเทม
Zhuji	พื้นฐานบำเพ็ญ	ค่าสถานะพื้นฐานที่เพิ่มขึ้นจากการใช้/บริโภคไอเทมนี้ (ช่วงค่า: 0–30,000) (สำหรับศิษย์ชั้นนอกเท่านั้น)
Fesistance	ความทนยาระยะยาว	อัตราที่ผลยาจะอ่อนลงเมื่อใช้ซ้ำหลายครั้ง ค่า “ความทนยา = 1” หมายถึงการใช้ครั้งถัดไปจะ “ไม่เกิดผลใด ๆ” (ช่วงค่า: 0–1; ความละเอียด: 0.01)
Ling	ชี่	ชี่ที่เพิ่มขึ้นจากการใช้/บริโภคไอเทมนี้ (ช่วงค่า: 0–999,999,999)
Nutrition	คุณค่าทางโภชนาการ	ความอิ่มที่ฟื้นคืนเมื่อบริโภคไอเทมนี้ (ช่วงค่า: 0–100)
Water	กระหายน้ำ	ความกระหายน้ำที่ฟื้นคืนเมื่อบริโภคไอเทมนี้ (ช่วงค่า: 0–100)
PracticeNutrition	กำลังกาย	กำลังกายที่ฟื้นคืนเมื่อบริโภคไอเทมนี้ (ช่วงค่า: 0–9,999)
DiscipleOnly	มีผลเฉพาะศิษย์ชั้นใน	ไอเทมนี้มีผลเฉพาะกับศิษย์ชั้นในหรือไม่
DanModifier	เอฟเฟกต์เอลิกเซียร์	เอฟเฟกต์พิเศษที่ได้รับเมื่อบริโภคไอเทม
Color	สีไอคอน	สีไอคอนของไอเทม
EquipLable	ชนิดอุปกรณ์	ประเภทของอุปกรณ์
EquipModel	โมเดล	โมเดลของอุปกรณ์
Sex	เพศ	เงื่อนไขเพศสำหรับสวมใส่อุปกรณ์
TemperatureMaxAdd	อุณหภูมิสูงสุดที่เหมาะสม	ค่าปรับฐานต่ออุณหภูมิสูงสุดที่เหมาะสมของตัวละคร ค่าจริงขึ้นกับคุณภาพอุปกรณ์และวัสดุที่ใช้ (ช่วงค่า: -999–999)
TemperatureMinAdd	อุณหภูมิต่ำสุดที่เหมาะสม	ค่าปรับฐานต่ออุณหภูมิต่ำสุดที่เหมาะสมของตัวละคร ค่าจริงขึ้นกับคุณภาพอุปกรณ์และวัสดุที่ใช้ (ช่วงค่า: -999–999)
WeaponKind	อาวุธ	ชนิดของอาวุธ
Damage	ความเสียหายพื้นฐาน	ความเสียหายพื้นฐานของอาวุธ ค่าจริงขึ้นกับคุณภาพอุปกรณ์และวัสดุที่ใช้ (ช่วงค่า: 1–999)
AttackSpeed	ความเร็วโจมตี	อัตราการโจมตีของอาวุธต่อวินาที (ช่วงค่า: 0.3–3)
AttackRange	ระยะโจมตี	ระยะไกลสุดที่อาวุธสามารถโจมตีได้ หน่วย: ช่อง (ช่วงค่า: 1.5–20)
Difficulty	ความยากในการศึกษา	ความยากของตำรา ยิ่งยากยิ่งต้องใช้แรงบันดาลใจมากขึ้น แต่แต้มบรรลุจะสูงขึ้นตาม (ช่วงค่า: 0–999)
EsotericaType	ประเภทตำรา	ประเภทของตำรา
MaxStack	ตัวคูณ	
Duration	ระยะเวลา	ระยะเวลาที่เอฟเฟกต์พิเศษคงอยู่ หน่วย: วินาที (ช่วงค่า: -1 หรือ 1–999,999; ถ้าเป็น -1 จะมีผลถาวร)
Skill	โบนัสสกิล	โบนัสค่าสถานะสกิลเพิ่มเติมที่เกิดจากเอฟเฟกต์พิเศษ
Property	โบนัสค่าสถานะ	โบนัสค่าสถานะเพิ่มเติมที่เกิดจากเอฟเฟกต์พิเศษ
GLevel	สถานะขั้น	สถานะ/ขั้นที่ต้องการเพื่อศึกษาตำรา
DanLevel	ระดับการปรุงยา	ระดับทักษะปรุงยาที่ต้องใช้ในการต้มเอลิกเซียร์ (ช่วงค่า: 1–20)
DanCount	ปริมาณการปรุงยา	จำนวนเชิงทฤษฎีที่ได้เมื่อปรุงเอลิกเซียร์ ปริมาณจริงขึ้นกับระดับทักษะของผู้ปรุงและสถานที่ที่ใช้ปรุง ขณะปรุงจะได้อย่างน้อย 1 เสมอ (ช่วงค่า: 0.1–999)
DanRate	ความยากในการปรุงยา	ความยากในการปรุงเอลิกเซียร์ ยิ่งค่าสูงยิ่งปรุงสำเร็จได้ยาก
ELearn	เรียนจากตำรา	วิธีการปรุงเอลิกเซียร์สามารถเรียนได้จากตำรา
WorldDrop	ดรอปจากโลก	สามารถได้รับเอลิกเซียร์จากรางวัลสุ่มระหว่างการผจญภัย
Businessman	ขายโดยพ่อค้าเร่	สามารถซื้อเอลิกเซียร์จากพ่อค้าเร่
InitialUnlock	ปลดล็อกเริ่มต้น	ทุกคนสามารถปรุงเอลิกเซียร์นี้ได้ตามค่าเริ่มต้น
DropCount	จำนวนดรอป	จำนวนเอลิกเซียร์ที่ได้รับระหว่างการผจญภัย
DropRate	อัตราดรอป	โอกาสได้รับเอลิกเซียร์เมื่อเกิดรางวัลเอลิกเซียร์แบบสุ่มระหว่างการผจญภัย
SellPrice	ราคาไอเทม	ราคาที่ซื้อไอเทมจากพ่อค้าเร่
SellCount	จำนวนในสต็อก	จำนวนเอลิกเซียร์ที่พ่อค้าเร่พกในคราวเดียว
StuffSelect	วัสดุรอง	เลือกวัสดุรองเพื่อใช้สร้างไอเทม
EsoDropRate	อัตราดรอป	โอกาสได้รับตำราเมื่อเกิดรางวัลตำราแบบสุ่มระหว่างการผจญภัย
StartUnlock	ปลดล็อกอัตโนมัติ	ได้รับโดยอัตโนมัติเมื่อเริ่มเกมใหม่
