ItemName	Type
Item_Cake	อาหาร
Item_Jerky	อาหาร
Item_HomeFood	อาหาร
Item_DeliciousFood	อาหาร
Item_DelicacyFood	อาหาร
Item_LingStone	เหรียญ
Item_Ginseng	สมุนไพร
Item_GanodermaLucidum	สมุนไพร
Item_MagicHerb	สมุนไพร
Item_Mint	สมุนไพร
Item_Ginkgo	สมุนไพร
Item_Healroot	สมุนไพร
Item_SmallCycle	สมุนไพร
Item_Hemostatics	สมุนไพร
Item_Plaster	สมุนไพร
Item_Anodyne	สมุนไพร
Item_StoneEssenceDrug	สมุนไพร
Item_Flour	ส่วนผสม
Item_Wheat	ส่วนผสม
Item_Mushroom	ส่วนผสม
Item_Lotusroot	ส่วนผสม
Item_Pear	ส่วนผสม
Item_BoarMeat	ส่วนผสม
Item_FrogMeat	ส่วนผสม
Item_TurtleMeat	ส่วนผสม
Item_BearMeat	ส่วนผสม
Item_Beef	ส่วนผสม
Item_RabbitMeat	ส่วนผสม
Item_ChickenMeat	ส่วนผสม
Item_WolfMeat	ส่วนผสม
Item_FishMeat	ส่วนผสม
Item_SnakeMeat	ส่วนผสม
Item_CatMeat	ส่วนผสม
Item_TigerMeat	ส่วนผสม
Item_IronBlock	วัสดุ
Item_CopperBlock	วัสดุ
Item_SilverBlock	วัสดุ
Item_BrownRockBlock	วัสดุ
Item_GrayRockBlock	วัสดุ
Item_MarbleBlock	วัสดุ
Item_JadeBlock	วัสดุ
Item_LingStoneBlock	วัสดุ
Item_RoughWoodBlock	วัสดุ
Item_HardWoodBlock	วัสดุ
Item_LingWoodBlock	วัสดุ
Item_WoodLeftover	วัสดุ
Item_HardWoodLeftover	วัสดุ
Item_ParasolWoodLeftover	วัสดุ
Item_LingWoodLeftover	วัสดุ
Item_BrownRockLeftover	วัสดุ
Item_GrayRockLeftover	วัสดุ
Item_MarbleLeftover	วัสดุ
Item_JadeLeftover	วัสดุ
Item_SkyStoneLeftover	วัสดุ
Item_LingStoneLeftover	วัสดุ
Item_LingCrystalLeftover	วัสดุ
Item_IronRockLeftover	วัสดุ
Item_CopperRockLeftover	วัสดุ
Item_SilverRockLeftover	วัสดุ
Item_DarksteelRockLeftover	วัสดุ
Item_StarEssenceLeftover	วัสดุ
Item_SilverGrit	วัสดุ
Item_CopperGrit	วัสดุ
Item_CottonCloth	ผ้า
Item_PurpleCloth	ผ้า
Item_YellowCloth	ผ้า
Item_BlueCloth	ผ้า
Item_RedCloth	ผ้า
Item_WhiteCloth	ผ้า
Item_BlackCloth	ผ้า
Item_RabbitLeather	ผ้า
Item_BearLeather	ผ้า
Item_WolfLeather	ผ้า
Item_BoarLeather	ผ้า
Item_CattleLeather	ผ้า
Item_TigerLeather	ผ้า
Item_DeepBlueCloth	ผ้า
Item_Cotton	วัสดุ
Item_Cinnabar	วัสดุ
Item_IronRock	วัสดุ
Item_CopperRock	วัสดุ
Item_SilverRock	วัสดุ
Item_BrownRock	วัสดุ
Item_GrayRock	วัสดุ
Item_Marble	วัสดุ
Item_Wood	วัสดุ
Item_HardWood	วัสดุ
Item_LingWood	วัสดุ
Item_Shit	วัสดุ
