牛皮薄衣衫	Bull Hide Thin Shirt
红布清凉下裳	Red Fabric Summer Pants
武当琢玉秘传	Wudang Jade Polishing Secret Method
铁矿石	Iron Ore
五雷戮血印	Five Thunders Slaughter  Boulder
灵石法座	Spirit Stone Qi Cushion
天柱石神鹤灯	Holy Stone Crane Lantern
天柱石剑心玉莲	Holy Stone Swordheart Lotus
上古残迹	Ancient Ruins
寒精灯笼	Ice Essence Lantern
寒精八卦旗	Ice Essence Trigrams Flag
角色出生点	Character Spawn Point
灯笼	Lantern
神鹤灯	Crane Lantern
赑屃玄碑	Bixi Stele
鼓	Drum
云龙鼓	Dragon Drum
灵石香炉	Spirit Stone Censer
上古残木	Ancient Stump
玉石腾龙柱	Jade Dragonrising Pillar
玉石灯柱	Jade Lamp Post
天柱石钟	Holy Stone Bell
残道古像	Decrepit Statue
棕石太极旗	Brownstone Tai Chi Flag
棕石香炉	Brownstone Censer
棕石灯笼	Brownstone Lantern
火铜神鹤灯	Igneocopper Crane Lantern
火铜碑	Igneocopper Stele
奇石	Strange Rock
天柱石鼓	Holy Stone Drum
上古残骸	Ancient Remains
天柱石地母秘穴	Holy Stone Earthmother Hive
青铜祭旗	Bronze Banner
古始之光	Primordial Light
逻辑点	Logic Point
爱	Ai
伦	Lun
廖	Liao
雅绿	Yalü
时间之囚	Prison of Time
清心咒	Serene Heart Curse
通符书	Talismanic Codex
云气汇流	Cloud Qi Convergence
灵息诀	Spirit Breath Technique
剑符录	Sword Talisman Record
神剑符	Divinesword Talisman
玄符录	Mystic Talisman Record
天甲符	Heavenarmor Talisman
咒符录	Curse Talisman Record
神咒符	Divine Curse Talisman
结云经	Cloud-Binding Sutra
入定之术	Art of Meditation
祈天经	Heaven-Praying Scripture
通天符法	Heavensent Talisman Method
天真论	Innocent Discourse
无上神符	Peerless Divine Incantation
借天符	Heavenlent Talisman
遮天符	Heavenshrouding Talisman
云行法	Cloud Walking Method
东木分神书	Eastern Wood Spirit-Splitting Method
分神之术	Spirit-Splitting Technique
天道神丹	Divine Elixir of Heavenly Dao
天道神器	Divine Artifact of Heavenly Dao
太阴锻体	Lunar Forging Body
少阴锻体	Body Forging of Lesser Yin
玄阴锻体	Body Forging of Profound Yin
神行术	Divine Movement Technique
瞬形法	Instant Form Method
九州大法	Nine Provinces Great Method
辟邪真法	Evil-Warding True Method
幽剑	Phantom Sword
地母玄经	Mystic Scripture of Earth Mother
凝珀诀	Amber Condensation Formula
摄神御鬼大法	Spirit-Capture Ghost Control Art
九幽炼神	Nine Nethers Spirit Refinement
尘暴术	Dust Storm Technique
玄牝重生法	Mystic Feminine Rebirth Method
八极炼形诀	Eight Extremities Body Refinement
灵视神观	Spiritual Vision Divine Observation
太虚元罡	Great Void Primordial Gang
太虚神盾	Great Void Divine Shield
瞬霎诀	Instant Flash Technique
太阴诀	Lunar Formula
少阴诀	Lesser Yin Formula
玄阴诀	Profound Yin Formula
渊狱诀	Abyss Prison Formula
幽狱诀	Nether Prison Technique
通幽秘传	Secret Transmission of Nether Passage
幽淬之法	Ghostly Tempering Technique
灵淬之法	Spirit Refinement Method
坤元真气	Earthly Origin True Qi
厚德篇	Virtuous Chapter
虚空谒神法	Void God-Invoking Method
坏灭诀	Annihilation Technique
一剑	One Sword
秘宝：一剑	Treasure: Single Sword
再造形神之术	Body-Spirit Reformation Art
本源通慧书	Intrinsic Perceptive Script
赋灵术	Spirit Infusion Art
五泉涤心法	Five Springs Heart-Cleansing Method
先天罡气	Innate Gang Qi
化伤术	Wound Transformation Art
求雨术	Rain-Summoning Art
甘霖术	Sweet Dew Art
风水鉴定	Geomancy Appraisal
太和御气诀	Great Harmony Qi-Control Art
御木诀	Wood Control Formula
天霖诀	Heavenly Rain Formula
天水化伤术	Heavenly Water Wound-Transformation Art
天一真法	True Method of Tian Yi
采水诀	Water-Gathering Technique
水镜观心定	Water Mirror Heart-Calming Method
乘风诀	Wind-Riding Formula
同风诀	Shared Wind Technique
奔流诀	Torrent Technique
归海诀	Sea-Return Technique
水精真形	Water Essence True Form
水气真形	Water Qi True Form
水神真形	Water God's True Form
暴雨术	Rainstorm
九阴真水界	Nine Yin True Water Realm
玄魂造命	Mystic Soul Life Creation
罡煞合流	Convergence of Gangsha
醍醐灌顶之术	Enlightenment Bestowal Technique
造化曳影秘法	Destiny Shadow Trail Secret Law
本源饕餮	Intrinsic Taotie
玉虚琢玉秘传	Jade Void Jade Polishing Secret Method
壹零陆贰柒柒捌零贰捌	1062778028
毕氏化伤神雷	Bi Clan Wound-Transforming Thunder Technique
太上流光	Supreme Radiance
本源不坏神雷	Essence Indestructible Thunder
