talk	notarget	int	string	float	thing
NotEatShit	ข้าจะไม่Ăn phân				
NotEatEssence	ข้าจะไม่Ănแร่หายาก เว้นแต่พวกเขาจะป้อนให้ข้า				
NotEatDrug	ข้าจะไม่Ănยาวิเศษนอกเสียจากว่าชีวิตข้าขึ้นอยู่กับมัน เว้นแต่พวกเขาจะป้อนให้ข้า				
NotEatWheat	ข้าจะĂn lúa mìก็ต่อเมื่อข้าหิว				
NotEatDryMeat	ข้าจะไม่Ăn thịt khô				
NotEatPear	Cái gì là "lê"? Ta ăn được không?				
NotEatMeat	Thịt sống thật ghê tởm, ta chỉ ăn khi sinh mệnh bị đe dọa.				
NotEatCook	Không có món ăn nào muốn ăn ít hơn thức ăn đã nấu chín				
NotBiteBuilding	Ta không muốn tấn công kiến trúc				
NotBiteClothes	ข้าจะไม่Chơiกับเสื้อผ้า				
NotBiteOuter	ข้าจะไม่Tấn côngศิษย์สายนอก				
NotBiteInner	ข้าจะไม่Tấn côngศิษย์สายใน				
NotBiteVisitor	ข้าจะไม่Tấn côngแขกผู้มาเยือน				
NotBiteIncoming	ข้าจะไม่Tấn côngคนธรรมดาที่ผ่านมา				
NotAtkEnemy	ข้าจะไม่เข้าไปTấn công kẻ địch นอกเสียจากว่าพวกมันจะTấn côngข้าก่อน				
NotShitAtShitPlace	ข้าจะไม่Bài tiếtที่จุดBài tiết				
NotShitAtPlants	ข้าจะไม่Bài tiếtบนพืช				
NotShitAtDogHouse	ข้าจะไม่Bài tiếtบนเตียงNgủของข้า				
NotShitAtStorage	ข้าจะไม่Bài tiếtในพื้นที่เก็บของ				
NotShitOnBed	ข้าจะไม่Bài tiếtบนเตียงNgủ				
NotShitInFarm	ข้าจะไม่Bài tiếtในพื้นที่การเกษตร				
NotCarryOuterToBed	ข้าจะไม่เคลื่อนย้ายศิษยที่สลบไปยังเตียง				
NotCarryVisitorToDest	ข้าจะไม่เคลื่อนย้ายแขกผู้มาเยือนที่สลบไปยังจุดที่กำหนด				
NotCarryEnemyToDest	ข้าจะไม่เคลื่อนย้ายศัตรูที่สลบไปยังจุดที่กำหนด				
NotCarryIncomingToDest	ข้าจะไม่เคลื่อนย้ายคนธรรมดาที่สลบไปยังจุดที่กำหนด				
NotCarryEnemyBodyToDest	ข้าจะไม่เคลื่อนย้ายศพของศัตรูไปยังจุดที่กำหนด				
NotCarryVisitorBodyToDest	ข้าจะไม่เคลื่อนย้ายศพของแขกผู้มาเยือนไปยังจุดที่กำหนด				
NotCarryIncomingBodyToDest	ข้าจะไม่เคลื่อนย้ายศพของคนธรรมดาไปยังจุดที่กำหนด				
NotHelpCarry	ข้าจะไม่ช่วยเคลื่อนย้ายสิ่งของ				
NotHelpTimber	ข้าจะไม่ช่วยĐốn cây				
NotHelpMine	ข้าจะไม่ช่วยKhai thác quặng				
NotHelpFind	ข้าจะไม่ช่วยค้นหาสิ่งของ				
NotHelpKill	ข้าจะไม่ช่วยล่าสัตว์				
NotHelpPlant	ข้าจะไม่ช่วยBón phânพืช				
NotCureFreeze	ข้าจะไม่ช่วยTrị chứng tê cóng				
NotCureHot	ข้าจะไม่ช่วยTrị chứng say nắng				
NotHelpCook	ข้าจะไม่ช่วยNấu ăn				
NotHeatEndure	ข้าจะไม่ช่วยเพิ่มความต้านทานความร้อน				
NotColdEndure	ข้าจะไม่ช่วยเพิ่มความต้านทานความเย็น				
NotHelpPlay	ข้าจะไม่Chơiกับศิษย์ในสำนัก				
NotPlayToy	ข้าจะไม่ChơiกับของChơi				
NotTrainQiGan	ข้าจะไม่Tu luyệnปราณ				
NotTrainNeiDan	ข้าจะไม่Tu luyệnแก่นอสูร				
NotTrainHuTi	ข้าจะไม่Tu luyệnเกราะปราณ				
NotTrainLingZhi	ข้าจะไม่Tu luyệnสติปัญญา				
NotTrainShuFa	ข้าจะไม่Tu luyệnปราณเวท				
WannaEatShit					{0} có ngon không?
WannaEatEssence					{0} này khiến ta chảy nước miếng
WannaEatDrug					Ta muốn ăn thần dược
WannaEatWheat					{0} này trông ngon quá
WannaEatDryMeat					Ta không thể chịu được mùi của {0}
WannaEatPear					Không chịu nổi nữa, ta muốn ăn {0}
WannaEatMeat					ข้าจะไปĂn {0}
WannaEatCook					Ta muốn ăn {0}
WannaBiteBuilding					Ta đã nhẫn nhịn {0} quá lâu rồi
WannaBiteClothes					{0} này chắc chắn rất tốt để đánh răng
WannaBiteOuter					Ta tự hỏi đệ tử ngoại môn {0} sẽ có vị gì?
WannaBiteInner					Đến lúc thể hiện sức mạnh thật của ta cho đệ tử nội môn {0}
WannaBiteVisitor					Khách đến {0} có vẻ là mục tiêu tốt để luyện Thuật Pháp
WannaBiteIncoming					Khách đến {0} có vẻ là mục tiêu tốt để luyện Thuật Pháp
WannaAtkEnemy					Ngày chết của {0} đã đến rồi
WannaShitAtShitPlace					Ta muốn bài tiết ở chỗ bài tiết
WannaShitAtPlants					Ta muốn bài tiết trên cây
WannaShitAtDogHouse					Ta muốn bài tiết trên giường
WannaShitAtStorage					Phân của ta là bảo vật. Kho chứa là nơi tốt để giữ chúng.
WannaShitOnBed					Thật thú vị khi bài tiết trên giường ngủ
WannaShitInFarm					Bài tiết trên đất nông nghiệp chắc sẽ tăng phân bón cho chúng
WannaCarryOuterToBed					Ta nên giúp {0} bất tỉnh
WannaCarryVisitorToDest					Ta muốn vác khách bất tỉnh {0} đến điểm chỉ định
WannaCarryEnemyToDest					Ta muốn vác kẻ địch bất tỉnh {0} đến điểm chỉ định
WannaCarryIncomingToDest					Ta muốn vác khách bất tỉnh {0} đến điểm chỉ định
WannaCarryEnemyBodyToDest					Ta muốn vác xác kẻ địch {0} đến điểm chỉ định
WannaCarryVisitorBodyToDest					Ta muốn vác xác khách đến {0} đến điểm chỉ định
WannaCarryIncomingBodyToDest					Ta muốn vác xác khách đến {0} đến điểm chỉ định
WannaHelpCarry	Ta muốn giúp sắp xếp đồ				
WannaHelpTimber	Có lẽ phải đốn cây, để ta giúp.				Có lẽ phải đốn cây, để ta giúp.
WannaHelpMine	Khoáng thạch này quý giá thật, ngươi lấy đi!				Khoáng thạch này quý giá thật, ngươi lấy đi!
WannaHelpFind	Để ta xem trong người ngươi có gì nào				Để ta xem trong người ngươi có gì nào
WannaHelpKill	Xác chết không nên để thối rữa, ta sẽ giúp.				Xác chết không nên để thối rữa, ta sẽ giúp.
WannaHelpPlant	Cây trong ruộng có ích. Ta sẽ giúp bón phân.				Cây trong ruộng có ích. Ta sẽ giúp bón phân.
WannaCureFreeze	Chứng tê cóng của {0} trông rất nặng. Ta sẽ giúp trị.				Chứng tê cóng của {0} trông rất nặng. Ta sẽ giúp trị.
WannaCureHot	Chứng say nắng của {0} trông rất nặng. Ta sẽ giúp trị.				Chứng say nắng của {0} trông rất nặng. Ta sẽ giúp trị.
WannaHeatEndure	Ta muốn giúp tăng kháng nóng				Ta muốn giúp tăng kháng nóng
WannaColdEndure	Ta muốn giúp tăng kháng lạnh				Ta muốn giúp tăng kháng lạnh
WannaHelpPlay	Có vẻ {0} tâm trạng không tốt lắm				Có vẻ {0} tâm trạng không tốt lắm
WannaPlayToy	Ta muốn chơi với {0} thật lâu				Ta muốn chơi với {0} thật lâu
DoTalkEatShit					Hiện tại ta đang ăn {0}
DoTalkEatEssence					Hiện tại ta đang ăn {0}
DoTalkEatDrug					Hiện tại ta đang ăn {0}
DoTalkEatWheat					Hiện tại ta đang ăn {0}
DoTalkEatDryMeat					Hiện tại ta đang ăn {0}
DoTalkEatPear					Hiện tại ta đang ăn {0}
DoTalkEatMeat					Hiện tại ta đang ăn {0}
DoTalkEatCook					Hiện tại ta đang ăn {0}
DoTalkEat					Ta đang tận hưởng {0}
