蜚皮休闲衣衫	Fei Hide Casual Shirt
蜚皮修行下裳	Fei Hide Cultivator Pants
寒精弓	Ice Essence Bow
大理石砖	Marble Block
行疆镇	Trekking Stone
金丝木农具	Farming Tool
青龙白骨锄	Azuragon White Bone Hoe
五彩蘑菇拼	Fine Meal
青龙八极灵宝	Azuragon The Eight Poles Numinous Treasure
佩戴者可以提高护体之力。	Increases the wearer's Protection.
玄甲符	Darkarmor Talisman
可以一定程度上隐匿自己的气息，使自己外出历练时不那么容易被认出身份，以降低声望的获取。	"Talisman used to hide your presence to some extent, become less identifiable by others during adventure, and reduce chances of obtaining reputation."
匿踪符	Talisman of Invisibility
提高制作物的品质。	Used to improve quality of crafted items.
天工符	Talisman of Craftsmanship
上古残迹	Ancient Ruins
灵石灯柱	Spirit Stone Lamp Post
角色出生点	Character Spawn Point
逻辑点	Logic Point
西	West
劫	Calamity
夏	Xia
腾	Teng
项	Xiang
晓巧	Xiaoqiao
梁丘	Liangqiu
半芹	Banqin
家	Jia
锦	Jin
肃界之拯救者	Savior of the Austere Realm
玉虚飞星诀	Jade Void Shooting Star Art
冷月四象神雷	Cold Moon Four Symbols Thunder
造化飞星	Creation Shooting Star
金雷金刚诀	Golden Thunder Vajra Art
嵩山镇神	Songshan Spirit Suppressor
什么？好不容易才把修行者杀干净，怎么又冒出来一个？	"What? We just finished wiping out all the cultivators, and now another one appears?"
真是让人不得空闲，但你与他们一样，一样值得拯救。	"Truly leaving no room for idleness, but you're just like them - equally worth saving."
末法的代言人	Advocate of Apocalypse
禁止自动恢复灵气	Disable automatic Qi recovery
此地原本是梧桐神木生长的地方，灵气充沛，适合天地灵根生长。可惜千年之内灵气就被修行者汲取得一干二净。	这里本是梧桐神木生长之地，灵气充沛，适宜培育天灵根。可惜千年之内，就被修士们采尽了灵气
