ID	Name	Desc	MapStory	DoLua	Default	Condition1	Point1	UnLock1	Condition2	Point2	UnLock2	Condition3	Point3	UnLock3	Condition4	Point4	UnLock4
	Title	Description	解锁触发的mapstory		默认线索	条件1 动机|参与者|证据 条件的判断从左往右依次	指向1	解锁内容 隐秘|角色|线索									
1	บุคคลปริศนา	เป็นเวลาหลายเดือนแล้วนับตั้งแต่คืนที่สำนักไท้อี้ถูกทำลาย ครั้งหนึ่งเมื่อท่านกลับไปที่ซากปรักหักพังของสำนักไท้อี้เพื่อตรวจสอบอะไรบางอย่าง ท่านได้สังเกตุเห็นบุคคลปริศนาคนหนึ่งจากระยะไกล มันดูเหมือนว่าคนผู้นั้นจะเป็นผู้อาวุโสเยว่ชิงโฉวจากนิกายแสงราตรี การปรากฏตัวของคนผู้นี้ในช่วงเวลานี้เป็นเรื่องปกติงั้นเหรอ บางทีนางอาจจะรู้อะไรบางอย่าง?				1|2|3,4,5	100	2||14									
2	ปริศนาแห่งไท้อี้	เป็นที่แน่นอนแล้วว่าคนจากภูเขาร้อยแมลงบางคนได้มีส่วนร่วมในการทำลายสำนักไท้อี้เพื่อสมบัติบางอย่าง  แต่สำนักไท้อี้นั้นเป็นเพียงสำนักธรรมดาๆ สำนักหนึ่งที่ชายแดนบูรพาเฉียงใต้ อีกทั้งสำนักแห่งนี้ยังห่างไกลจากคำว่าร่ำรวยยิ่งนัก มันเป็นสมบัติวิเศษแบบไหนกันที่ทำให้ภูเขาร้อยแมลงอันทรงอำนาจถึงกับยกขบวนผู้แข็งแกร่งมาเพื่อทำลายล้างพวกเขา? เรื่องราวเหล่านี้ยังคงการสืบสวนต่อไป			|14|	6|14|	101	3,500||	6,7,8,9|14,15,16,17|22,23,24	102	4,500||	6,10|14,18|25	103	5,500||	6,7,8,9,10,11,12,13|14,15,16,17,18,19,20,21|22,23,24,25,26,27,28,29	104	6,500||
3	ความลับโบราณ	หลังจากการสืบสวนบางอย่าง ดูเหมือนว่าทุกอย่างเกิดจากการครอบครองสิ่งประดิษฐ์โบราณที่มีชื่อว่า "โลกจักรวาล" ของสำนักไท้อี้ซึ่งไปกระตุ้นความโลภของภูเขาร้อยแมลงจนนำไปสู่การทำลายล้าง ทว่าสำนักไท้อี้เป็นเพียงสำนักเล็กๆ ที่เพิ่งจะก่อตั้งขึ้นมาในช่วงร้อยปีที่ผ่านมาเท่านั้น พวกเขาอาศัยอยู่อย่างถ่อมตนที่ชายแดนบูรพาเฉียงใต้ แล้วทำไมพวกเขาถึงได้มีสมบัติวิเศษที่ล้ำค่าเช่นนี้ได้? ดูเหมือนว่าทุกอย่างมันจะไม่ง่ายอย่างที่คิด				30,40|31|32	105										
4	ความลับโบราณ	หลังจากการสืบสวนบางอย่าง ดูเหมือนว่าเป็นเพราะว่ามีสามนิกายมาร ได้แก่ สำนักสราญรมย์,สำนักเจ็ดวิถีสังหารและนิกายหลุมอเวจีที่ได้ซ่อนความเกลียดชังบางอย่างต่อสำนักไท้อี้ ดังนั้นพวกเขาจึงจงใจส่งข้อความไปยังภูเขาร้องแมลงและชักใยเหตุการณ์ครั้งนั้นจากเงามืด ทว่าสำนักไท้อี้เป็นเพียงสำนักเล็กๆ ที่เพิ่งจะก่อตั้งขึ้นมาในช่วงร้อยปีที่ผ่านมาเท่านั้น พวกเขาอาศัยอยู่อย่างถ่อมตนที่ชายแดนบูรพาเฉียงใต้ ในขณะที่สามนิกายมารอันยิ่งใหญ่นั่นเป็นนิกายที่มีมาตั้งแก่สมัยโบราณ แล้วความเกลียดชังพวกนี้มันมาจากไหนกัน? ดูเหมือนว่าทุกอย่างมันจะไม่ง่ายอย่างที่คิด			|37|	33,34,35,36,40|37|32	106										
5	ความลับโบราณ	หลังจากการสืบสวนบางอย่าง ท่านก็พบกับความประหลาดใจที่พบว่าภูเขาร้อยแมลงนั้นไม่ใช่สำนักเดียวที่เกี่ยวข้อง กลุ่มคนที่เป็นผู้วางค่ายกลมังกรนั้นแท้จริงแล้วกลับเป็นคนที่มาจากอารามเมฆาม่วง ต่างจากภูเขาร้อยแมลงที่มีเพียงความโลภในสมบัติวิเศษ เบื้องหลังการกระทำของอารามเมฆาม่วงนั้นยังเป็นสิ่งที่ยังคลุมเครืออยู่ ดูเหมือนว่าพวกเขาจะมีความLo lắngใจและหวาดกลัวต่อสำนักไท้อี้ การกระทำของพวกเขานั้นเต็มไปด้วยความระมัดระวังและพวกเขาก็ได้ยืมมือภูเขาร้อยแมลงในการลงมือกำจัดสำนักไท้อี้ ทว่าสำนักไท้อี้เป็นเพียงสำนักเล็กๆ ที่เพิ่งจะก่อตั้งขึ้นมาในช่วงร้อยปีที่ผ่านมาเท่านั้น พวกเขาอาศัยอยู่อย่างถ่อมตนที่ชายแดนบูรพาเฉียงใต้ ในขณะอารามเมฆาม่วงนั้นเป็นสำนักที่ทรงพลังมาตั้งแต่สมัยโบราณกาล แล้วความหวาดกลัวเหล่านี้นั้นมาจากไหนกัน? ดูเหมือนว่าทุกอย่างมันจะไม่ง่ายอย่างที่คิด			|39|	38,40|39|32	107										
6	ความลับโบราณ	เมื่อการสอบสวนดำเนินไป ท่านได้พบว่าเรื่องนี้มันเกินความคาดหมายเป็นอย่างมาก ภูเขาร้อยแมลงนั้นไม่ใช่สำนักเดียวที่เกี่ยวข้อง กลุ่มคนที่เป็นผู้วางค่ายกลมังกรนั้นแท้จริงแล้วกลับเป็นคนที่มาจากอารามเมฆาม่วง ที่น่าตกใจไปกว่านั้นคือ เบื้องหลังของสองนิกายนี้ ยังมีอีกหกสำนักทั้งของฝ่ายธรรมะและฝ่ายมารที่วางแผนอยู่ในเงามืด ได้แก่ สำนักสราญรมย์, สำนักเจ็ดวิถีสังหาร, นิกายหลุมอเวจี, นิกายม่านฟ้า ตำหนักคุนหลุน และ อารามเมฆาม่วง นอกจากภูเขาร้อยแมลงที่ลงมือเพียงเพื่อต้องการสมบัติวิเศษแล้ว สำนักอื่นๆ ที่ซ่อนอยู่เบื้องหลังนั้นมีทัศนคติที่ค่อนข้างละเอียดอ่อนและแตกต่างกันต่อสำนักไท้อี้: สำหรับสามนิกายมารนั้นดูเหมือนว่าจะมีความรู้สึกเกลียดชังต่อสำนักไท้อี้ ในขณะที่สี่สำนักฝ่ายธรรมะนั้นแบกรับความLo lắngใจและความหวาดกลัวที่มีต่อสำนักไท้อี้เอาไว้ ทว่าสำนักไท้อี้เป็นเพียงสำนักเล็กๆ ที่เพิ่งจะก่อตั้งขึ้นมาในช่วงร้อยปีที่ผ่านมาเท่านั้น พวกเขาอาศัยอยู่อย่างถ่อมตนที่ชายแดนบูรพาเฉียงใต้ ในขณะที่ทั้งเจ็ดสำนักอื่นๆ นอกเหนือไปจากภูเขาร้อยแมลงนั้นล้วนแล้วแต่เป็นมหาอำนาจจากยุคโบราณ ทัศนคติของพวกเขาที่มีต่อสำนักไท้อีี้นั้นช่างน่าสงสัยเป็นอย่างมาก ไม่ว่าจะเกิดอะไรขึ้น เรื่องนี้ไม่สามารถอธิบายได้ด้วยความรักหรือความเกลียดชังธรรมดาๆ มันจะต้องมีความลับที่ลึกซึ้งซ่อนอยู่เบื้องหลังแน่ๆ			|42|	40,41|42|32	108	7||									
7	จักรพรรดิองค์แรก	ในตอนนี้ปริศนาทั้งหมดได้ชี้ไปที่เจ้าสำนักคนสุดท้ายของมหาราชวังบูรพา อย่างไรก็ตาม เขาได้ถูกศัตรูหลายคนรุมสังหาร ทุกสิ่งที่เกี่ยวกับเขาได้หายไปและไม่มีใครจำได้ ท่านรู้สึกว่าท่านอยู่ห่างจากความจริงอีกแค่เพียงหนึ่งก้าวเท่านั้นและมีลางสังหรณ์ว่าว่าทุกอย่างจะได้รับคำตอบ ณ จุดเริ่มต้น ทันใดนั้นเรื่องราวของจักรวาลย่อส่วนก็ลอยเข้ามาในหัวของท่าน															
100	บุคคลปริศนา	จากคำบอกเล่าของผู้อาวุโสเยว่ชิงโฉวแห่งนิกายแสงราตรี ในตอนที่นางไปทำธุระที่ดินแดนโพ้นทะเลช่วง นางได้เห็นเปลวไฟขนาดใหญ่ปรากฏบนภูเขาจันทร์เพ็ญและก็ได้ไปสำรวจถึงสาเหตุของเปลวไฟนั้น นางได้พบเพียงร่องรอยของค่ายกลขนาดใหญ่ที่มีอาณาเขตหลายร้อยลี้ ซึ่งทำให้นางเองก็ไม่สามารถเข้าไปใกล้มากกว่านั้นได้และนางยังมีเรื่องอื่นที่ต้องจัดการ ดังนั้นนางจึงจากไปหลังจากนั้นไม่นาน  ซึ่งทำให้นางเองก็ไม่สามารถเข้าไปใกล้มากกว่านั้นได้ มีเพียงสิ่งเดียวที่นางเห็นนั่นก็คือแสงสีทองที่ปกคลุมไปทั่วท้องฟ้าภายในอาณาเขตค่ายกลนั่น สิ่งมันมันคือจั๊กจั่นทองคำร้อยพิษ มหาเวทแห่งภูเขาร้อยแมลง และเบาะแสทุกอย่างแสดงให้เห็นว่าภูเขาร้อยแมลงนั้นได้วางแผนที่จะยึดสมบัติบางอย่างในช่วงเวลาที่สำนักไท้อี้ถูกทำลาย ดูเหมือนว่าภูเขสาร้อยแมลงจะต้องเกี่ยวข้องกับเรื่องนี้อย่างแน่นอน และพวกเราควรให้ความใส่ใจกับสำนักนี้ในการสืบสวนครั้งต่อไป															
101	ปริศนาแห่งไท้อี้	ในขณะที่การสอบสวนยังดำเนินต่อไป ท่านได้พบว่าดูเหมือนสำนักไท้อี้จะมีสิ่งประดิษฐ์ที่ล้ำค่าชิ้นหนึ่งที่เรียกว่า "โลกจักรวาล" อยู่ในการครอบครองของพวกเขา ซึ่งเกี่ยวข้องกับความอยู่รอดในหายนะที่จะมาถึงในอนาคต เรื่องราวจึงเป็นดังคำกล่าวที่ว่า หยกนั้นไม่ผิดแต่ผิดที่ผู้ครอบครองหยกนั้นไร้ความสามารถ นี่คงเป็นเหตุผลที่ว่าทำไมสำนักจึงตกเป็นเป้าของนิกายมารที่ทรงพลังอย่างภูเขาร้อยแมลง ทว่าสำนักไท้อี้เป็นเพียงสำนักเล็กๆ ที่เพิ่งจะก่อตั้งขึ้นมาในช่วงร้อยปีที่ผ่านมาเท่านั้น พวกเขาอาศัยอยู่อย่างถ่อมตนที่ชายแดนบูรพาเฉียงใต้ แล้วทำไมพวกเขาถึงได้มีสมบัติวิเศษที่ล้ำค่าเช่นนี้ได้? ดูเหมือนว่าทุกอย่างมันจะไม่ง่ายอย่างที่คิด		WorldLua:SetWorldFlag(94,1)													
