ID	IsHide	LastName	FristName	Desc	Race	SpecialYG	Sex	Age	BodyType	Hair	Beard	ClothesStuff	BodyColor	BackStory1	BackStory2	BackStory3	Feature1	Feature2	Feature3	Experience1	Experience2	Experience3	Experience4	Relation1	Relation2	Relation3

-1	2			ผู้กลับชาติมาเกิดที่สูญเสียตัวตนของพวกเขา ไม่มีใครรู้ว่าพวกเขาเป็นใครหรือมาจากไหน (ว่างเปล่า)			1																			
1	1	จื่อ	เฟยหยู่				1	45	1	10	5		3	200045	200046	200027	LunHui_1	LunHui_2		Experiences6	Experiences11	Experiences13				
2	0	โจว	กงจื่อ				1	22	1	9			3	200043	200044	200028	LunHui_4									
3	0	ซู่	อู๋กุ่ย	This Reincarnator is in commemoration of the spring of 2017.			1	27	1	8			3	200023	200035		LunHui_5									
4	0	หยาง	Big	This Reincarnator is in commemoration of the spring of 2017.			1	32	2	3			3	200023	200034		LunHui_2	HighMan								
5	0	ตู่	ตู๋				1	27	1	2			3	23	200026											
6	0	ลู่	ลู่				1	26	1	7			3	200025	610											
7	0	หยิน	หวง	This Reincarnator is in commemoration of the spring of 2017.			1	45	2	8	2		2	200023	200024		LunHui_2									
8	0	ซัง	ซัง				2	18	1	5			1	200036	200037		Enthusiasm	Sensitive	Strong							
9	0	อี้ซือ	ปู้โกว				2	18	2	2			1	200038	200039	200030										
10	0	เย่	ชิงซิน				2	18	1	1			3	200040	200041											
11	0	จาง	ซือไห่				1	34	2	8	2		1	200049	200050	200031										
12	0	เซียนหยู๋	ฉี				1	23	1	1			1	200047	200048	200029										
13	2	เฟิง	จื่อไห่				1									200032										
14	0	เยว่	เหมา				1	29	1	8			1	200051	200052	200033	LunHui_14									
15	0	ปู้	ฮวากู่				1	23	1					200053	200054											
16	0	ชางฉุ่ย	ชือกวา				1	99	1	9	3		1	200055	200056											
17	0	จิน	อวี๋				2	18	1	5			1	200061	200062											
18	0	เจี้ยน	เหนียนซาน				1	27	1	10			0	200063	200064					Experiences11						
19	0	เซียน	ฮ่าว				1	27	1	3			3	200065	200066	200067				LunHui_Experiences3						
20	0	เสวีย	อี้				1	27	1	4			3	200068	200069	200070										
1000	0	พิมหมิง	หวานซานหลาง	Indie game developer and the producer of indie game documentary Indie Games in China.			1	40	1					200003	200004											
1001	0	เสี่ยวหลิน	เจิ้งเสวีย	Main protagonist of the Cheney Wood detective game series.			1	27	1					200001	200002		FacialScar	Optimistic	Careful							
1002	0	หวัง	เมียวอี้	Producer of the indie game WILL: A Wonderful World.			2	18	1					200005	200006		Pessimism	Warrior		LunHui_Experiences2						
1003	0	หวัง	ลัวจู๋	Original gaming video creator.			1	28	1	1	-1		0	200117	200118		BanLove	LunHui_36	LunHui_37	LunHui_Experiences4				1004|Spouse		
1004	0	เหมียน	เหมียน	Fashion and journal blogger.			2	27	1	3			1	200119	200120		BanLove			Experiences29				1003|Spouse		
1005	0	ไก้	ซือเต๋อ	Character from the game My Time At Portia.			1	23	1					200007	200008		LunHui_Kong_1	Artist	LunHui_Kong_2							
1006	0	อา	ลั่ว	Character from the game My Time At Portia.			1	28	1					200009	200010		LunHui_Kong_3									
1007	0	อ้าย	หมี่ลี่	Character from the game My Time At Portia.			2	20	1					200011	200012		Optimistic									
1008	0	หยิน	เหอ	Chief editor of the gaming website 3DM.			1	24	1					200013	200014		HealthOverdraft1	Optimistic	LunHui_Kong_4							
1009	0	อา	จิ่ว	Well-known speaker in Chinese indie game circle.			2	19	1					200015	200016		Optimistic	Strong	Affinity							
