ID	Name	Desc	sParam1	sParam2

1	อากาศแจ่มใส	มันช่างเป็นวันที่สว่างสดใสและอากาศก็แจ่มใสมาก แต่ข้าก็ไม่รู้ว่าสภาพอากาศแบบนี้มันจะดำเนินต่อไปอีกนานแค่ไหน	SunnyDay	
2	มีเมฆมาก	ท้องฟ้ามืดมนและมีเมฆมาก และข้าก็ไม่รู้ว่าสภาพอากาศแบบนี้มันจะดำเนินต่อไปอีกนานแค่ไหน	Overcast	
3	ฝนตกปลอยๆ	เริ่มมีฝนตกเล็กน้อย	LightRain	
4	ฝนตกหนัก	เริ่มมีฝนตกอย่างหนัก	HeavyRain	
5	หมอกหนา	หมอกหนาเริ่มก่อตัวขึ้นอย่างกะทันหัน	DenseFog	
6	บรรยากาศมืดมน	อารมณ์ที่มืดมนอึมครึมได้เริ่มแผ่กระจายไปทั่วบรรยากาศ	Melancholy	
7	กลิ่นอายแห่งรัก	กลิ่นอายแห่งความรักแผ่กระจายไปทั่วทั้งอาณาบริเวณ	Ambiguous	
8	คึกคะนอง	ผู้คนทั่วทั้งสำนักรู้สึกหงุดหงิดง่ายกว่าปกติ	Impetuous	
9	ลูกเห็บ	เกิดฝนลูกเห็บ (ไม่ได้ดำเนินการ)	Impetuous	
10	ฤดูฝน	เริ่มเข้าหน้าฝน	MouldRains	
11	ภัยแล้ง	เริ่มเข้าหน้าแล้ง	Drought	
12	พายุฝน	เกิดพายุฝนรุนแรงและปราณธรรมชาติธาตุน้ำก็ก่อตัวหนาแน่นขึ้น	Rainstorm	
13	พายุลมร้อน	อากาศที่ร้อนจัดได้แผดเผาแผ่นดินจนแห้งแล้งและปราณธรรมชาติธาตุไฟก็ก่อตัวหนาแน่นขึ้น	Fohn	
14	พายุทราย	พายุทรายได้โถมซัดจดท้องฟ้ามืดมัวและปราณธรรมชาติธาตุดินก็ก่อตัวหนาแน่นขึ้น	DustStorm	
15	ปราณแห้งเหือด	ด้วยเหตุผลบางอย่าง จู่ๆ ปราณธรรมชาติก็ได้เหือดแห้งลงไปอย่างกะทันหัน	LingRarefiedWave	
16	คลื่นความร้อน	คลื่นความร้อนจากฤดูอันร้อนระอุได้มาถึง ส่งผลให้อุณหภูมิเพิ่มสูงขึ้นเป็นอย่างมาก โปรดใส่ใจสุขภาพของท่านและระวังการเป็นไข้แดด	HeatWave	
17	คลื่นความเย็น	คลื่นความเย็นจากฤดูอันเย็นยะเยือกได้มาถึง ส่งผลให้อุณหภูมิลดต่ำลงเป็นอย่างมาก โปรดใส่ใจสุขภาพของท่านและระวังหนาวตาย	ColdWave	
18	ราตรีนิรันดร์	เมฆลึกลับได้ปกคลุมท้องฟ้าและดวงอาทิตย์ และมันจะคงอยู่สักพักหนึ่งโดยไม่เห็นแสงเดือนแสงตะวัน	PermanentNight	
19	พายุละอองเกสรพิษ	พายุละอองเกสรพิษได้แผ่กระจายไปทั่วทั้งอาณาบริเวณและปราณธรรมชาติธาตุไม้ก็ก่อตัวหนาแน่นขึ้น	Miasma	
20	พายุสายฟ้า	พายุสายฟ้าอันเกรี้ยวกราดกำลังมาและปราณธรรมชาติธาตุทองก็ก่อตัวหนาแน่นขึ้น	LightningStorm	
21	สัตว์อสูรหายาก	เฟยได้ปรากฏตัวขึ้นในพื้นที่ใกล้ๆ มันได้นำพาสายฝนและโรคภัยไข้เจ็บมาพร้อมๆ กับตัวมันด้วย	Fei	
22	สัตว์อสูรหายาก	ลู่ซูได้ปรากฏตัวขึ้นในพื้นที่ใกล้ๆ มันได้นำอากาศอันแจ่มใสและบรรยากาศอันเป็นมงคลมาพร้อมๆ กับตัวมันด้วย	Lushu	
23	ภูติประหลาดตัวน้อย	ภูติตัวน้อยจากอีกโลกหนึ่งได้เดินผ่านมายังสำนักของท่านพร้อมกับสมบัติล้ำค่า และด้วยกฎของทั้งสองโลกที่แตกต่างกัน จึงทำให้วิธีการทั่วไปของโลกผู้ฝึกตนไม่อาจส่งผลกระทบต่อพวกมันได้ ดังนั้นพวกมันจึงมักเดินไปมาเดินมาอย่างไร้ยางอาย ถ้าหากท่านต้องการได้สมบัติเหล่านี้จากพวกมัน ท่านจำเป็นต้องคิดหาวิธีการบางอย่าง	Lushu	
24	สัตว์อสูร	สัตว์อสูร ได้ปรากฏตัวขึ้นในพื้นที่ใกล้ๆ	Null	
25	สมบัติ	แสงจากฟากฟ้าได้ตกลงมายังพื้นที่เบื้องล่าง ดูเหมือนว่ามันจะเป็นสมบัติล้ำค่าบางอย่าง	FightFabao	
26	สมบัติ	การต่อสู้อันดุเดือดได้เกิดขึ้นบนท้องฟ้าไม่ไกลจากที่นี่ และดูเหมือนว่าจะมีสมบัติล้ำค่าบางอย่างตกลงมายังที่นี่	FightFabao	
27	สมบัติ	มีแสงจ้าพุ่งตรงขึ้นไปยังท้องฟ้า ดูเหมือนว่าจะมีสมบัติบางอย่างปรากฏขึ้นในพื้นที่แห่งนี้	FightFabao	
28	ผู้ลี้ภัยที่ผ่านมา	ผู้ลี้ภัยจากสงครามได้เดินทางมายังสำนักของท่าน และ[IT]ก็ปรารถนาที่จะเข้าร่วมกับสำนักของท่าน	Human	
29	ความลับ		1	
30	ความลับ		2	
31	ความลับ		3	
32	ความลับ		4	
33	ความลับ		5	
34	ถูกโจมตี	กลุ่มคนเถื่อนจากป่าทางตอนใต้ได้บุกโจมตีสำนักของท่าน	Poorest	Human
35	ถูกโจมตี	กลุ่มโจรที่หาเลี้ยงชีพด้วยการปล้นสะดมผู้คนตามป่าเขาได้ปลุกโจมตีและปล้นชิงสมบัติจากท่าน	Poor	Human
