房间	Room
农田	Field
灵植影响范围	Spiritual plants affect their surroundings.
鹿蜀皮薄衣衫	Lushu Hide Thin Shirt
鹿蜀皮薄下裳	Lushu Hide Thin Pants
寒精长枪	Ice Essence Spear
寒晶角料	Ice Crystal Offcut
凝光千魂碎	Aqua Thousand Souls  Scrap
玄铁角料	Darksteel Offcut
落樱七杀钉	Falling Cherry Blossom Seven Slaughters Nail
灵晶弓	Bow
落影千魂弓	Falling Shadows Thousand Souls Bow
书	Script
苍莽五色简	Colossal Prismatic  Book
佩戴者可以提高抵御土属性伤害之力。	Increases the wearer's resistance to Earth Damage.
土甲符	Eartharmor Talisman
佩戴者可以提高道行。	Increases the wearer's Attainment.
借天符	Heavenlent Talisman
可以轻微提高炼制丹药的产量。	Used to slightly raise yield of Alchemy.
万化承丹符	Impermanence Talisman
鹿蜀皮休闲下裳	Lushu Hide Casual Pants
灵木锤	Spiritwood Mace
莲藕	Lotus Root
凝光千光藕	Aqua Thousand Rays Lotus Root
牛皮	Bull Hide
戊己屠魔罩	Central Demon Slaughtering  Cover
可以提高移动速度的符咒。	Talisman used to raise move speed.
轻身符	Agility Talisman
可以略微提高修炼速度。	Talisman used to slightly improve cultivation speed.
天心符	Heavenly Heart
佩戴者可以提高法宝回灵倍率。	Increases the wearer's Artifact Qi Recovery Multiplier.
灵剑符	Spiritsword Talisman
角色出生点	Character Spawn Point
逻辑点	Logic Point
圣火	Spirit Stone Fire Cauldron
灵石长明兽神灯	Spirit Stone Animalian Ever-burning Lamp
火铜墙	Igneocopper Wall
火铜长明兽神灯	Igneocopper Animalian Ever-burning Lamp
火铜门	Igneocopper Door
火铜异首兽型炉	Igneocopper Headless Animalian Furnace
火铜地母祭灯	Igneocopper Sacrificial Lamp
火铜鼎	Igneocopper Cauldron
乱界	Chaos Realm
冤孽	Karmic Debt
巫马	Wuma
裕	Yu
权	Quan
慕儿	Muer
司空	Sikong
时	Shi
储	Chu
晓凡	Xiaofan
谢	Xie
健	Jian
赤霄宫燃灵诀	Red Sky Abode Spirit Ignition Art
逆浪落花神雷	Countercurrent Falling Blossoms Lightning
长生陨星神雷	Longevity Meteor Divine Thunder
太上清心诀	Supreme Mind-Clearing Art
戊己九极咒	Earth Nine Extremities Curse
庚金震地诀	Metal Earth-Shaking Art
御神飞星诀	Divine Command Flying Star Formula
你是何人？此处乃圣火宫禁地，速速离去！否则格杀勿论？	"Who dares trespass? This is the forbidden ground of the Spirit Fire Palace! Leave at once, or be cut down!"
如此恣意妄为！如此骄纵轻狂！哪怕此界将灭，吾等也将在最后时光捍卫圣火之尊严。	"Such reckless arrogance! Such insolent pride! Even if this world is doomed to perish, we shall defend the dignity of the Spirit Stone Fire Cauldron until the very end."
