祝贺	Congrats!
仓库	Storage
房间	Room
蓝布休闲衣衫	Blue Fabric Casual Shirt
野猪皮休闲下裳	Casual Pants
肉干	Dried Meat
花布薄衣衫	Patterned Fabric Thin Shirt
狼皮修行下裳	Wolf Hide Cultivator Pants
寒晶锤	Ice Crystal Mace
可以提高突破瓶颈的概率。	Used to raise the chance of breakthrough.
洞真符	Truth Comprehension
寒精锭	Ice Essence Bar
癸水屠神镇	Equable God Slaughtering  Boulder
鱼肉	Fish
镇岳饮血陀	Hill Fall Blood Draining  Tablecloth
石髓	Stone Essence
合天石	Heavenly Merger  Boulder
灵石墙	Spirit Stone Wall
灵石门	Spirit Stone Door
灵石床	Spirit Stone Bed
灵石灯笼	Spirit Stone Lantern
灵石丹炉	Spirit Stone Alchemy Furnace
公兔子	Male Rabbit
雌龟	Female Turtle
雄龟	Male Turtle
雌青蛙	Female Frog
雄青蛙	Male Frog
<font color=MYCOLOR>钟离舒</font>因<font color=OBJCOLOR>心境中正</font>心情不错，忍不住来<font color=OBJCOLOR>凝神望天</font>抒怀。	<font color=MYCOLOR>Zhongli Shu</font> is in a good mood due to <font color=OBJCOLOR>'Balanced Mindset'</font> and can't help but <font color=OBJCOLOR>gaze at the sky</font> to express [HIS] feelings.
1天 12:15	1d 12:15
钟离	Zhongli
舒	Shu
惊魂初定	Soul-Shock Initial Calm
建立门派	Establish a Sect
和	He
慕容	Murong
碧彤	Bitong
掌门	Sect Leader
福	Fu
琴袖	Qinxiu
历练	Adventure
左丘	Zuoqiu
寂离	Jili
钧	Yun
印	Yin
平安	Pingan
鸿煊	Hongxuan
诸葛	Zhuge
泰	Tai
驾山圭	Mountain Raider
钟离舒	Zhongli Shu
教学	Teaching
门	School
存档写入完成	Game Saved
钮影感到危险	Niu Ying Senses Danger
钟离舒筑基成功	Zhong Lishu succeeded in laying foundation.
田纨筑基成功	Tian Zhi succeeded in laying foundation.
药物储量不足	Insufficient medicine reserves.
钟离舒遇到瓶颈	Zhong LiShu reached a limit.
敌人出现	Enemy Appears
钟离舒突破瓶颈成功	Zhongli Shu successfully broke through the bottleneck
衡保：受伤	Heng Bao: hurt.
天下传闻	World Adventure
天苍246年 春 第10日	Tiancang Year 246 Spring Day 10
据传昆仑宫的大能闻蓉在铜陵山出没。	It's said the mighty Wen Rong of Kunlun Palace has been spotted at Tongling Mountain.
据传正一道的大能花民在铜陵山出没。	It's said the mighty Hua Min of Zhengyi Dao has been spotted at Tongling Mountain.
据传紫霄宗的大能马刚在南屏村出没。	It's said the mighty Ma Gang of Zixiao Sect has been spotted in Nanping Village.
索笑霜：受伤	Suo Xiaoshuang: hurt.
福琴袖：受伤	Fu Qinxiu: hurt.
化影诀	Shadow Transformation Formula
太乙不朽神雷	Taiyi Immortal Divine Thunder
坤元秘要	Earthly Origin Secret
少量的	Slightly
千钧	Thousand Jun
混元式	Hybrid Form
苍龙迅击密卷	Azure Dragon Swift Strike Scripture
中量的	Visibly
微草归祖神功	Tiny Grass Return to Ancestry Divine Art
甲乙鲸吞秘要	Secret Essentials of Jia-Yi Devouring
紫云宫神视纪要	Purple Cloud Palace's Divine Vision Summary
大量的	Greatly
天妖化血术	Heavenly Demon Blood Transformation
忘情佛心记	Heartless Buddha Heart Record
太阴锻体	Lunar Forging Body
少阴锻体	Body Forging of Lesser Yin
玄阴锻体	Body Forging of Profound Yin
瞬形法	Instant Form Method
九幽炼神	Nine Nethers Spirit Refinement
太虚神盾	Great Void Divine Shield
少阴诀	Lesser Yin Formula
玄阴诀	Profound Yin Formula
幽狱诀	Nether Prison Technique
坤元真气	Earthly Origin True Qi
一剑	One Sword
秘宝：一剑	Treasure: Single Sword
神行术	Divine Movement Technique
九州大法	Nine Provinces Great Method
辟邪真法	Evil-Warding True Method
幽剑	Phantom Sword
地母玄经	Mystic Scripture of Earth Mother
凝珀诀	Amber Condensation Formula
摄神御鬼大法	Spirit-Capture Ghost Control Art
尘暴术	Dust Storm Technique
玄牝重生法	Mystic Feminine Rebirth Method
八极炼形诀	Eight Extremities Body Refinement
灵视神观	Spiritual Vision Divine Observation
太虚元罡	Great Void Primordial Gang
瞬霎诀	Instant Flash Technique
太阴诀	Lunar Formula
渊狱诀	Abyss Prison Formula
通幽秘传	Secret Transmission of Nether Passage
幽淬之法	Ghostly Tempering Technique
灵淬之法	Spirit Refinement Method
厚德篇	Virtuous Chapter
虚空谒神法	Void God-Invoking Method
坏灭诀	Annihilation Technique
再造形神之术	Body-Spirit Reformation Art
天道神丹	Divine Elixir of Heavenly Dao
天道神器	Divine Artifact of Heavenly Dao
甲木镇神咒	Jia Mu Spirit-Suppressing Curse
乙木流光	Yi Wood Flowing Light
新境天星神雷	New Realm Star Divine Thunder Technique
御气陨星神雷	Qi Control Meteor Lightning
归藏秘诀	Returning Secret Art
崩天秘法	Heaven-Shattering Art
咒神秘诀	Curse God Secret Art
急诵要诀	Essential Formula of Rapid Chant
白帝宫崩天	White Emperor Palace Heaven-Shattering
乙木咒神卷	Yi Mu Curse God Scroll
炎神殿归藏卷	Flame Temple's Returning Treasury Scroll
乙木百炼卷	Yi Wood Hundred Refinements Scroll
甲木崩天秘诀	Jia Wood (Yang Wood) Heaven-Sundering Secret Art
神龟纪要	Divine Turtle Compendium
微草神龟神功	Tiny Grass Divine Turtle Divine Art
冷月神佑	Cold Moon Divine Blessing
百草阁通慧典	Hundred Herbs Pavilion Wisdom Canon
甲乙清心	Heart Cleansing of Jia Yi
海量的	Massively
赋灵术	Spirit Infusion Art
献祭	Sacrifice Offering
炼制灵晶之术	Spirit Crystal Production Technique
天魔舞	Heavenly Demon Dance
百炼诀	Hundred Refinements Formula
博物志	Naturalist's Journal
上清真气	Shangqing True Qi
灵淬法	Spirit Tempering Method
炼器十要	Ten Essentials of Artifact Refining
炼制灵石之术	Art of Crafting Spirit Stones
入定之术	Art of Meditation
御木诀	Wood Control Formula
化伤术	Wound Transformation Art
托体同山诀	Body-Entrusting Mountain Art
琢玉册	Jade-Carving Manual
丙丁雷泽火	Fire Thunder Marsh Flame
神火合一·雷泽	Flame Fusion - Thunder Marsh
上清先天真焰	Shangqing Primordial True Flame
神火合一·上清	Divine Fire Unity · Supreme Clarity
心焰	Heart Flame
神火合一·心焰	Divine Fire Unity · Heart Flame
