ID	Name	Desc	EndDesc

1	ค้นพบอาวุธวิเศษ	เมื่อเร็วๆ นี้ในช่วงไม่กี่วันที่ผ่านมาได้ปรากฏแสงสมบัติปรากฏขึ้นในตอนกลางคืนที่[TXT]  ว่ากันว่ามีการขุดพบอาวุธวิเศษที่สูญหายบางส่วนที่นั่น	อาวุธวิเศษที่[TXT]ได้ถูกใครบางคนแย่งชิงไปแล้ว
2	ค้นพบอาวุธวิเศษ	ในช่วงไม่กี่วันที่ผ่านมา สัญญาณของแสงจ้าที่ส่องผ่านก้อนเมฆมักปรากฏขึ้นที่[TXT]  ข้าได้ยินมาว่าอาวุธวิเศษอันล้ำค่ากำลังจะถูกขุดพบที่นั่น	อาวุธวิเศษที่[TXT]ได้ถูกใครบางคนแย่งชิงไปแล้ว
3	ค้นพบอาวุธวิเศษ	การเปลี่ยนแปลงครั้งใหญ่ของสวรรค์และโลกถูกสังเกตได้เมื่อสายลมและเมฆมาได้มาบรรจบกันที่[TXT] ว่ากันว่ามีการขุดพบสิ่งประดิษฐ์โบราณบางอย่างที่นั่น	อาวุธวิเศษที่[TXT]ได้ถูกใครบางคนแย่งชิงไปแล้ว
4	ค้นพบอาวุธวิเศษ	การเปลี่ยนแปลงครั้งใหญ่ของสวรรค์และโลกถูกสังเกตได้เมื่อสายลมและเมฆมาได้มาบรรจบกันที่[TXT] ว่ากันว่ามีการขุดพบสิ่งประดิษฐ์โบราณบางอย่างที่นั่น ว่ากันว่าเนื่องจากผลกระทบของผนึก สภาพแวดล้อมจึงกลายเป็นดินแดนต้องคำสาปแห่งน้ำแข็ง ([temperature]-150[/temperature]) ทำให้แทบจะไม่มีใครที่สามารถเข้าไปใกล้มันได้	อาวุธวิเศษที่[TXT]ได้ถูกใครบางคนแย่งชิงไปแล้ว
5	ค้นพบอาวุธวิเศษ	การเปลี่ยนแปลงครั้งใหญ่ของสวรรค์และโลกถูกสังเกตได้เมื่อสายลมและเมฆมาได้มาบรรจบกันที่[TXT] ว่ากันว่ามีการขุดพบสิ่งประดิษฐ์โบราณบางอย่างที่นั่น ว่ากันว่าเนื่องจากผลกระทบของผนึก สภาพแวดล้อมจึงกลายเป็นดินแดนต้องสาปแห่งไฟนรก ([temperature]500[/temperature]) ทำให้แทบจะไม่มีใครที่สามารถเข้าไปใกล้มันได้	อาวุธวิเศษที่[TXT]ได้ถูกใครบางคนแย่งชิงไปแล้ว
6	ค้นพบถ้ำลับ	ว่ากันว่ามีถ้ำลึกลับที่เป็นของเซียนโบราณคนหนึ่งได้ปรากฏขึ้นที่[TXT]	ถ้ำเซียนที่[TXT]ได้ปรากฏออกมาและขุมทรัพย์ภายในนั้นก็ถูกผู้ฝึกตนคนอื่นแย่งชิงไปแล้ว
7	ค้นพบถ้ำลับ	ว่ากันว่ามีถ้ำลึกลับที่เป็นของเซียนโบราณคนหนึ่งได้ปรากฏขึ้นที่[TXT] ถ้ำได้รับการปกป้องด้วยคาถาป้องกันและภายในถูกปกคลุมไปด้วยความหนาวเย็น ([temperature]-150[/temperature]) มันสามารถสังหารใครก็ตามที่มีความต้านทานต่ำและริอาจที่จะเข้ามาภายในถ้ำแห่งนี้	ถ้ำเซียนที่[TXT]ได้ปรากฏออกมาและขุมทรัพย์ภายในนั้นก็ถูกผู้ฝึกตนคนอื่นแย่งชิงไปแล้ว
8	ค้นพบถ้ำลับ	ว่ากันว่ามีถ้ำลึกลับที่เป็นของเซียนโบราณคนหนึ่งได้ปรากฏขึ้นที่[TXT] ถ้ำได้รับการปกป้องด้วยคาถาป้องกันและภายในถ้ำถูกเผาไหม้ด้วยไฟอันร้อนระอุ ([temperature]500[/temperature]) มันสามารถสังหารใครก็ตามที่มีความต้านทานต่ำและริอาจที่จะเข้ามาภายในถ้ำแห่งนี้	ถ้ำเซียนที่[TXT]ได้ปรากฏออกมาและขุมทรัพย์ภายในนั้นก็ถูกผู้ฝึกตนคนอื่นแย่งชิงไปแล้ว
9	ค้นพบถ้ำลับ	ว่ากันว่ามีถ้ำลึกลับที่เป็นของเซียนโบราณคนหนึ่งได้ปรากฏขึ้นที่[TXT] ดูเหมือนว่าเจ้าของถ้ำนั้นจะเป็นปรมาจารย์ด้านการหลอมอาวุธวิเศษ ผู้ที่ซึ่งสร้างกับดักและวางเวทย์ป้องกันเอาไว้นับไม่ถ้วนเอาไว้ด้วยทักษะด้านนี้ ไม่มีใครสามารถสำรวจถ้ำและเอาชีวิตรอดออกไปได้หากปราศจากความชำนาญในด้านการหลอมอาวุธวิเศษ	ถ้ำเซียนที่[TXT]ได้ปรากฏออกมาและขุมทรัพย์ภายในนั้นก็ถูกผู้ฝึกตนคนอื่นแย่งชิงไปแล้ว
