ID	Name	Desc	Level	Rank	Gong	Miji	GLevel	GrandMaster	BasePower	UnLockBuilding	ZhenInfo	ZhenName	Race
499后不可用	Sect Name	Description	Sect levels: 1 Village, 2 Sect, 3 Abode.	Good/Evil 0: Undefined 1,-1: Both Good and Evil 2 to 4: Good -2 to -4: Evil	Sect Law (random fill, no physical form).	Sect Manual	Average Stage	Ancestral Master	Basic Strength	Buildings Unlocked After Conquest	Formation Info	Formation Name	Race, default RANDOM for random race, RANDOMYAOGUAI for random creature
1	นิกายม่านฟ้า	ผู้สืบทอดโดยของวิถีแห่งจิตกระจ่างสวรรค์ในพิภพมนุษย์ สำนักของพวกเขาตั้งอยู่บนภูเขาม่านฟ้า พวกเขาหนึ่งในสำนักเสาหลักของฝ่ายธรรมะ นิกายม่านฟ้านั้นถือได้ว่าเป็นสำนักที่มีความเชี่ยวชาญในศาสตร์ด้านการหลอมอาวุธวิเศษเป็นพิเศษ กระบี่เทวะทั้งสิบเล่มที่พวกเขาเก็บรักษาเอาไว้นั้นถือได้ว่าเป็นหนึ่งในอาวุธที่ทรงพลังมากที่สุดในโลกของผู้ฝึกตน ว่ากันว่ามันเป็นอาวุธวิเศษระดับสิบหรืออาจสูงกว่านั้น			วิชาบ่มเพาะหมื่นรังสรรค์สรรพวุธ			หลิงเป่าเทียนจุน				ค่ายกลมรรคานภาคราม	
2	ตำหนักคุนหลุน	ผู้สืบทอดโดยตรงของวิถีหยกอมตะไร้มลทินที่ส่งต่อกันมาตั้งแต่สมัยโบราณโดยปรมาจารย์บรรพกาล สำนักของพวกเขาตั้งอยู่บริเวณภูเขาคุนหลุนและพื้นที่โดยรอบสำนักนั้นมีเส้นชีพจรมังกรหล่อเลี้ยงอยู่อย่างไม่ขาดสาย พวกเขาหนึ่งในสำนักเสาหลักของฝ่ายธรรมะ วิชาหยกอมตะไร้มลทินที่ทั่วทั้งโลกของผู้แสวงหานั้นเป็นหนึ่งในเคล็ดวิชาอันทรงพลังของตำหนักคุนหลุน และด้วยจำนวนศิษย์ที่มากมายของพวกเขานั้น ทำให้พวกเขาได้รับการขนานนามว่าเป็นสำนักธรรมะอันดับหนึ่งในโลกผู้ฝึกตน			วิชาบ่มเพาะหยกอมตะไร้มลทินw			หยวนสื่อเทียนจุน				ค่ายกลมหาเต๋าสิ้นสุดฟ้า	
3	วังเหนือนภา	สำนักที่ตั้งอยู่อย่างสันโดษบนยอดเขาเทียบฟ้า พวกเขามักจะรับเฉพาะชายหญิงที่มากพรสวรรค์เท่านั้นเข้ามาเป็นศิษย์ในสำนัก การฝึกตนของพวกเขาจะเน้นไปที่การยอมรับอารมณ์และกิเลศของตนเอง ทว่าหลังจากนั้นพวกเขาก็จะโยนพวกมันทิ้งไปซะเพื่อเข้าสู่สภาวะสูงสุด การฝึกเช่นนี้ได้ทิ้งความเหนื่อยล้าทั้งกายและใจเอาไว้ให้แก่ผู้ฝึกตนหนุ่มสาวในโลกแห่งการบำเพ็ญตน			วิชาบ่มเพาะจิตสะบั้นใจ			จักรพรรดิแห่งแสง				ค่ายกลเจ็ดจิตสะบั้นเจ็ดอาวรณ์	
4	อารามเมฆาม่วง	พวกเขาเป็นสำนักที่มีอิทธิผลในโลกของผู้ฝึกตนค่อนข้างมากและเป็นที่รู้กันดีว่าพวกเขานั้นเชี่ยวชาญในด้านศาสตร์แห่งฮวงจุ้ย หลักการของสำนักของพวกเขาก็คือการฝึกหนทางแห่งเต๋าแต้มด้วยการออกเดินทางท่องไปยังโลกกว้าง แม้ว่าศิษย์ของพวกเขาจะออกท่องโลกไปเพื่อแสวงหาความเป็นอมตะ ทว่ากลับแข็งแกร่งราวกับนักรบพเนจร พวกเขาส่วนใหญ่จะท่องไปทั่วโลกโดยการอ่านฮวงจุ้ยและการทำนายดวงชะตา			มหามรรคาเมฆาสวรรค์			เซียนเมฆาม่วง				ค่ายกลอัสนีเซียนห้าสาย	
5	สำนักเอกลี้ลับ	พวกเขาเป็นสำนักที่มีอิทธิผลในโลกของผู้ฝึกตนค่อนข้างมาก พวกเขาถือได้ว่าเป็นลัทธิและศาสนาประจำแผ่นดินในโลกมนุษย์และทั้งยังทำหน้าที่เป็นที่ปรึกษาขององค์จักรพรรดิอีกด้วย สิ่งปลูกสร้างภายในสำนักทั้งหมดดูหรูหราและเป็นระเบียบ โครงสร้างต่างๆ มักจะมีสีม่วงเป็นสีพื้นฐานเพื่อแสดงถึงความจงรักภักดีต่อราชวงศ์ และในฐานะที่เป็นศาสนาหลักของอาณาจักร นี่จึงทำให้สำนักของพวกเขามีสาวกเพิ่มขึ้นอย่างต่อเนื่อง			มหามรรคาหัวใจสวรรค์			เซียนเอกลี้ลับ				ค่ายกลปราณม่วงมรรคาฟ้า	
6	อารามบัวสีคราม	สำนักอันเงียบสงบที่ก่อตั้งโดยเซียนอมตะบัวสวรรค์ พวกเขานั้นถูกกล่าวขานกันในเรื่องความเชี่ยวชาญเกี่ยวกับเคล็ดวิชากระบี่สังหาร หลักการของสำนักคือการใช้ชีวิตที่มีอิสรเสรี			กระบี่เทพจักรพรรดิขาว			เซียนอมตะบัวสวรรค์				ค่ายกลบัวฟ้าทลายโลกา	
7	นิกายแสงราตรี	นิกายแสงราตรีนั้นตั้งอยู่บริเวณทะเลสาบสวรรค์ซึ่งอยู่ลึกเข้าไปในภูเขาบัวห้าสี ศิษย์ของพวกเขานั้นเชี่ยวชาญดานการหลอมโอสถ เป็นที่รู้กันดีว่าพลังการรักษาของพวกเขาอันไร้ข้อกังขาและผู้คนมักต้องการความช่วยเหลือจากพวกเขาอยู่บ่อยครั้ง ทว่าพวกเขามักจะปลีกวิเวกซ่อนตัวห่างจากโลกภายนอก			บันทึกเต๋าลี้ลับ			เซียนบัวห้าสี				ค่ายกลหมอกแสงรัติกาล	
8	ภูเขาร้อยแมลง	สำนักโบราณจากทิศใต้ ซึ่งประกอบด้วยนักรบเถื่อนจากชายแดนใต้ซะเป็นส่วนใหญ่ พวกเขานั้นทั้งชั่วร้ายและโหดเหี้ยม บ่อยครั้งที่พวกเขาก่อความวุ่นวายในโลกของผู้ฝึกตนและวิธีการของพวกเขานั้นเหี้ยมโหดเกินบรรยาย			คัมภีร์ร้อยพิษ			ปรมาจารย์เสื้อคลุมเขียว				ค่ายกลมหามรรคาหมื่นพิษ	
9	นิกายหลุมอเวจี	สำนักมารที่ตั้งอยู่บนภูเขาหลุมอเวจี ที่ๆ ซึ่งเชื่อกันมาเป็นประตูสู่ปรภพ พวกเขานั้นบูชาพระแม่ธรณีและวิถีการฝึกตนของพวกเขานั้นคือวิถีแห่งการขัดแย้ง สิ่งนี้ช่วยให้พวกเขาใช้เคล็ดวิชาสองวิชาได้พร้อมกัน อีกทั้งมันยังช่วยให้พวกเขาสามารถควบคุมปราณแม่เหล็กที่ลึกลงไปใต้เปลือกโลกและรวมมันเข้ากับร่างกายเพื่อสร้างสนามแม่เหล็กที่แข็งแกร่งได้อีกด้วย ใครก็ตามที่ไม่ได้ฝึกฝนวิธีเดียวกันกับพวกเขาจะได้รับผลกระทบด้านลบภายในระยะ 300 เมตร ผู้ที่อยู่ในอาณาเขต 300 เมตรนั้นจะควบคุมการไหลเวียนปราณภายในร่างได้อย่างอยากลำบาก ดังนั้นสำนักแห่งนี้จึงรับมือได้ยากเป็นอย่างยิ่ง พวกเขาเป็นตัวตนที่แสนลึกลับแม้กระทั่งภายในหมู่ผู้ฝึกตนด้วยกัน			วิถีแห่งการขัดแย้ง			ผู้เฒ่าเสี้ยวสวรรค์				ค่ายกลโล่ห์ร้างแดนลับ	
