Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	Report Bug	无成功失败/中性回答	Success!	Fail	数值参数	文本参数
S_Carry_Discuss	0	Ta nói cho ngươi biết, [TNAME] đang sở hữu [TXT].	Ta không quan tâm chuyện đó.	ช่างบังเอิญอะไรเช่นนี้ ข้าเองก็รู้เรื่องนั้นด้วย!	ห๊ะ มันเป็นเรื่องจริงงั้นรึ? เจ้ารู้เรื่องนี้ได้อย่างไร?		
S_Carry_Ask	0	Ngươi có biết [NAME] đang sở hữu thứ gì không?	Sao ta biết được?	Đúng, ta biết [TIT] luôn mang [TXT] bên mình.	Ta không muốn nói cho ngươi.		
							
S_Esoterica_Discuss	0	Ngươi biết không? [TNAME] rất giỏi về [TXT]!	Ta không quan tâm chuyện đó.	ช่างบังเอิญอะไรเช่นนี้ ข้าเองก็รู้เรื่องนั้นด้วย!	ห๊ะ มันเป็นเรื่องจริงงั้นรึ? เจ้ารู้เรื่องนี้ได้อย่างไร?		
S_Esoterica_Ask	0	Ngươi có biết [TNAME] giỏi về cái gì không?	Sao ta biết được?	Đúng, ta biết [TIT] rất giỏi về [TXT].	Ta không muốn nói cho ngươi.		
							
S_Feature_Discuss	0	Ta nói cho ngươi biết, [TNAME] là người [TXT].	Ta không quan tâm chuyện đó.	ช่างบังเอิญอะไรเช่นนี้ ข้าเองก็รู้เรื่องนั้นด้วย!	ห๊ะ มันเป็นเรื่องจริงงั้นรึ? เจ้ารู้เรื่องนี้ได้อย่างไร?		
S_Feature_Ask	0	Ngươi có biết [TNAME] là người thế nào không?	Sao ta biết được?	Đúng, ta biết [TIT] là người [TXT].	Ta không muốn nói cho ngươi.		
							
S_HateItem_Discuss	0	Ta nói cho ngươi biết, [TNAME] rất ghét [TXT].	Ta không quan tâm chuyện đó.	ช่างบังเอิญอะไรเช่นนี้ ข้าเองก็รู้เรื่องนั้นด้วย!	ห๊ะ มันเป็นเรื่องจริงงั้นรึ? เจ้ารู้เรื่องนี้ได้อย่างไร?		
S_HateItem_Ask	0	Ngươi có biết [TNAME] không thích gì không?	Sao ta biết được?	Đúng, ta biết [TIT] cực ghét [TXT], nhìn thấy là phát cáu.	Ta không muốn nói cho ngươi.		
							
S_Hobby_Discuss	0	Ta nói cho ngươi biết, [TNAME] có [TXT] về...	Ta không quan tâm chuyện đó.	ช่างบังเอิญอะไรเช่นนี้ ข้าเองก็รู้เรื่องนั้นด้วย!	ห๊ะ มันเป็นเรื่องจริงงั้นรึ? เจ้ารู้เรื่องนี้ได้อย่างไร?		
S_Hobby_Ask	0	Ngươi có biết ta nên chú ý gì khi nói chuyện với [TNAME] không?	Sao ta biết được?	[TIT]นั้น[TXT]เกี่ยวกับ... ให้ความสนใจกับมันถ้าหากเจ้าต้องการเป็นเพื่อนกับ[TIT]	Ta không muốn nói cho ngươi.		
							
S_LikeItem_Discuss	0	Ta nói cho ngươi biết, [TNAME] rất thích [TXT].	Ta không quan tâm chuyện đó.	ช่างบังเอิญอะไรเช่นนี้ ข้าเองก็รู้เรื่องนั้นด้วย!	ห๊ะ มันเป็นเรื่องจริงงั้นรึ? เจ้ารู้เรื่องนี้ได้อย่างไร?		
S_LikeItem_Ask	0	Ngươi có biết [TNAME] thích gì không?	Sao ta biết được?	Đúng, ta biết [TIT] rất thích [TXT], đến mức mất ăn mất ngủ.	Ta không muốn nói cho ngươi.		
							
S_Secret_Discuss	0	Ta nói cho ngươi biết, [TNAME] biết về [TXT].	Ta không quan tâm chuyện đó.	ช่างบังเอิญอะไรเช่นนี้ ข้าเองก็รู้เรื่องนั้นด้วย!	ห๊ะ มันเป็นเรื่องจริงงั้นรึ? เจ้ารู้เรื่องนี้ได้อย่างไร?		
S_Secret_Ask	0	บอกข้าว่า [TNAME]รู้อะไรบ้าง	Sao ta biết được?	เกี่ยวกับเรื่อง[TXT] [TIT]ดูเหมือนว่าจะรู้เรื่องอะไรบางอย่าง	Ta không muốn nói cho ngươi.		
							
