房间	Room
仓库	Storage
蓝布休闲衣衫	Blue Fabric Casual Shirt
野猪皮休闲下裳	Casual Pants
紫布修行衣衫	Purple Fabric Sect Uniform
野猪皮修行下裳	Boar Hide Cultivator Pants
肉干	Dried Meat
灵石墙	Spirit Stone Wall
灵石门	Spirit Stone Door
灵石床	Spirit Stone Bed
灵石灯笼	Spirit Stone Lantern
练功点	Training Spot
公兔子	Male Rabbit
雌龟	Female Turtle
雄龟	Male Turtle
雌青蛙	Female Frog
雄青蛙	Male Frog
钟离	Zhongli
舒	Shu
惊魂初定	Soul-Shock Initial Calm
和	He
慕容	Murong
碧彤	Bitong
田	Tian
纨	Wan
博	Bo
冯	Feng
亦云	Yiyun
支	Zhi
飞扬	Feiyang
药物储量不足	Insufficient medicine reserves.
存档写入完成	Game Saved
钮影感到危险	Niu Ying Senses Danger
化影诀	Shadow Transformation Formula
太乙不朽神雷	Taiyi Immortal Divine Thunder
坤元秘要	Earthly Origin Secret
少量的	Slightly
千钧	Thousand Jun
混元式	Hybrid Form
苍龙迅击密卷	Azure Dragon Swift Strike Scripture
中量的	Visibly
微草归祖神功	Tiny Grass Return to Ancestry Divine Art
甲乙鲸吞秘要	Secret Essentials of Jia-Yi Devouring
紫云宫神视纪要	Purple Cloud Palace's Divine Vision Summary
大量的	Greatly
天妖化血术	Heavenly Demon Blood Transformation
忘情佛心记	Heartless Buddha Heart Record
