ID	Flag	Desc	Txt	Pic	Link	Voice

1	1	เลือกตัวละครเป็นครั้งแรก	เมนูคาแรคเตอร์แสดงสภาพของตัวละคร เช่น [color=#D06508]หิว[/color]และ[color=#D06508]อารมณ์ต่างๆ[/color] ผู้เล่นยังสามารถใช้เมนูตัวละคร [color=#D06508]ปุ่มโต้ตอบ[/color] เพื่อสั่งการให้ตัวละครโดยตรง	ui\Help2_en\001	21	m1
2	1	คลิกคำสั่งการรวบรวมทรัพยากรที่ด้านล่างของหน้าจอเป็นครั้งแรก	ผู้เล่นสามารถออกคำสั่งเพื่อรวบรวมทรัพยากรโดยใช้คำสั่งที่อยู่ด้านล่าง: [color=#D06508]คลิ๊ก[/color]ทรัพยากรหนึ่งครั้งเพื่อสั่งให้เป้าหมายรวบรวมมัน [color=#D06508]ลาก[/color]เหนือพื้นที่เพื่อสั่งการเป้าหมายเพื่อรวบรวมทรัพยากรในพื้นที่นั้น	ui\Help2_en\002	33	m2
3	1	คลิกสำรวจที่ด้านล่างของหน้าจอเป็นครั้งแรก	ใช้คำสั่งสำรวจบริเวณที่ปกคลุมไปด้วยหมอก ตัวละครที่มีหน้าที่ [color=#D06508]ล่าสัตว์[/color]จะทำการออกสำรวจพื้นที่ จดไว้ว่าการสำรวจจะกิน[color=#D06508]พลังงาน[/color]ซึ่งสามารถกู้คืนได้โดยการนอนหลับเท่านั้น	ui\Help2_en\003		m3
4	1	เลือก Plant/Item/Mineral และอื่นๆ เป็นครั้งแรก	หลังจากเลือกรายการแล้ว ท่านสามารถใช้ปุ่มโต้ตอบที่ส่วนบนของเมนูรายการเพื่อให้คำสั่งต่างๆ สอดคล้องกันได้ สามารถดูรายละเอียดรายการได้โดยวางเมาส์เหนือรายการ	ui\Help2_en\004		m4
5	1	เปิดเมนูแผนการทำงานเป็นครั้งแรก	งานของศิษย์สายนอกสามารถจัดเรียงได้ในเมนูแผนงาน ในเมนูแผนงาน ลำดับความสำคัญของงานจะลดระดับลงมาจาก[color=#D06508]ซ้ายไปขวา[/color] แต่ผู้เล่นสามารถเลือกตัวละครและมอบหมาย[color=#D06508]หน้าที่ประจำได้โดยตรง[/color] ชีวิตประจำวันของศิษย์สายในจะไม่เกี่ยวข้องกับแผนงานเหล่านี้	ui\Help2_en\005	31	m5
6	1	เปิดเมนูสำนักเป็นครั้งแรก	เมื่อตัวละครสำเร็จการฝึกพื้นฐาน พวกเขาจะกลายเป็นศิษย์สายในและสามารถใช้เมนูตั้งสำนักได้ การใช้เมนูสำนัก ผู้เล่นสามารถจัดการเรื่องต่างๆ เกี่ยวกับสำนักได้ ไม่ว่าจะเป็นการเข้าถึงข้อมูลสำนักต่างหรือการดำเนินการอื่นๆ	ui\Help2_en\006	611	m6
7	1	เปิดเมนูโลกเป็นครั้งแรก	หลังจากสร้างสำนักจะสามารถส่งศิษย์สายในออกผจญภัยได้โดยใช้เมนูนี้ ในขณะที่ตัวละครอยู่ในการผจญภัย พวกเขาอาจพบกับการเหตุการณ์ต่างๆ ซึ่งอาจมีประโยชน์หลายอย่าง เช่น การเพิ่มชื่อเสียงหรือการเข้าถึงทรัพยากรหายาก	ui\Help2_en\007	610	m7
8	1	คลิกที่ปุ่มสร้างเป็นครั้งแรก	สิ่งปลูกสร้างที่สามารถสร้างได้สามารถพบได้ในเมนูสร้าง จากคำสั่งสร้างเมนูนี้ยังสามารถกำหนดได้ ในขณะที่ท่านเล่นเกมไปเรื่อยๆ ตัวเลือกเพิ่มเติมจะถูกปลดล็อคจากสถานการณ์หรือสถานที่ต่างๆ โปรดจำไว้ว่าการก่อสร้างจะต้องใช้[color=#D06508]พื้นที่ก่อสร้าง[/color]ตรวจสอบให้แน่ใจว่าได้เว้นที่ว่างสำหรับจุดสร้างเมื่อเลือกตำแหน่งของโครงสร้าง	ui\Help2_en\008	41	m8
9	1	สร้างผังดูดาวเป็นครั้งแรก	ท่านได้สร้างผังดูดาวแล้ว ตอนนี้ท่านสามารถตรวจสอบฮวงจุ้ยโดยใช้สัญลักษณ์หยินหยางที่มุมล่างซ้ายของสัญลักษณ์ ฮวงจุ้ยมีผลทางอ้อมในทุกด้านของเกม ดังนั้นจึงควรนำมาพิจารณาในการสร้างสำนัก	ui\Help2_en\009	51	m9
