Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	Report	无成功失败/中性回答	Success!	Failed!	数值参数	文本参数
LingHun_AskTNpc	0	Hãy nói mọi thứ ngài biết về [TSCHOOL] của [TNAME]!	Ta không biết [TIT].	ข้าจะพูด..	มันไม่มีอะไรจริงๆ ข้าสาบานได้		
LingHun_AskTNpcData	0	Nói hết những gì ngài biết về [TXT] liên quan đến [TSCHOOL] của [TNAME]!	Ta không biết... Ta không biết...	ข้าจะพูด..	มันไม่มีอะไรจริงๆ ข้าสาบานได้		
LingHun_AskTNpcSecret	0	Nói cho ta mọi bí mật về [TSCHOOL] của [TNAME]!	Ta không biết... Ta không biết...	ข้าจะพูด..	Ta sẽ không bao giờ nói dù ngươi có giết ta!		
							
							
LingHun_Die	0	[HENAME] กำลังจะตาย	...				
LingHun_AskNpc	0	เพียงแค่บอกข้ามาว่าเจ้ารู้อะไรบ้าง โปรดจำไว้ว่าคนเรานั้นมีเพียงแค่ชีวิตเดียวเท่านั้น หากคำตอบของเจ้าทำให้ข้าพอใจ บางที่ข้าอาจจะไว้ชีวิตเจ้าก็ได้ มิเช่นนั้น ข้าเกรงว่าเจ้าคงจะต้องสูญเสียชีวิตน้อยๆ ของเจ้าไปเป็นแน่ จริงหรือไม่?	...	Đư-được... Ta sẽ nói hết những gì ta biết...	หึ แล้วยังไง? ทำตามที่เจ้าต้องการเถอะ...		
LingHun_DontKnow	0	บอกข้าเกี่ยวกับเรื่องนี เจ้าจะได้ประโยชน์อะไรหากเจ้ายังต่อต้าน?	... ขะ-ข้าไม่รู้จริงๆ...				
							
LingHun_Feature	0	Ta biết ngươi được phái đến từ [TXT]. Ta có cách khiến ngươi mở miệng. Tốt hơn hết là ngươi nên hợp tác để bớt rắc rối.	...	กะ-ก็ได้... ก็ได้... ข้าจะบอกเจ้า ได้โปรดหยุดเถอะ...	หึ แล้วยังไง? ทำตามที่เจ้าต้องการเถอะ...		
LingHun_Feature_Open	0	ฮ่า ฮ่า ข้ารู้ว่าเจ้านั้นเป็นคน[TXT] จงแสดงให้ข้าเห็น	... (วิญญาณของ [NAME] กำลังสั่นสะเทือนอย่างรุนแรงและดูเหมือนว่ามันจะเจ็บปวดเป็นอย่างมาก...)				
							
LingHun_LikeItem	0	Ngươi thích [TXT] mà? Đừng giả vờ cứng rắn. Nếu nói cho ta biết, ngươi có thể lấy hết [TXT]. Sao phải làm phức tạp? (Tạo ảo ảnh [TXT])	...	Đư-được... Được... Nếu ngươi đưa [TXT], ta sẽ nói...	หึ แล้วยังไง? ทำตามที่เจ้าต้องการเถอะ...		
LingHun_LikeItem_Open	0	Ngươi thích [TXT] phải không? Tiếc quá, tất cả là của ta! (Tạo ảo ảnh [TXT] rồi lấy đi)	... (วิญญาณของ [NAME] กำลังสั่นสะเทือนอย่างรุนแรงและดูเหมือนว่ามันจะเจ็บปวดเป็นอย่างมาก...)				
							
LingHun_HateItem	0	Ngươi ghét [TXT] phải không? Nếu ngươi nói cho ta biết, ta hứa sẽ không dùng những thứ này... (Tạo ảo ảnh [TXT] vây quanh [HENAME])	...	กะ-ก็ได้... ก็ได้... ข้าจะบอกเจ้า ได้โปรดหยุดเถอะ...	หึ แล้วยังไง? ทำตามที่เจ้าต้องการเถอะ...		
LingHun_HateItem_Open	0	Ngươi ghét [TXT] hả? Hử?! Ngươi mạnh đấy? (Tạo ảo ảnh [TXT] đặt lên đầu [NAME])	... (วิญญาณของ [NAME] กำลังสั่นสะเทือนอย่างรุนแรงและดูเหมือนว่ามันจะเจ็บปวดเป็นอย่างมาก...)				
							
LingHun_Hobby	0	Ta nghe nói đây là [TXT] của ngươi? Nếu ngươi nói những gì ngươi biết, ta sẽ thả ngươi.	...	Xin dừng lại! Xin dừng lại! Ta nói! Ta sẽ nói hết!	หึ แล้วยังไง? ทำตามที่เจ้าต้องการเถอะ...		
LingHun_Hobby_Open	0	Hả? Nghe nói đây là [TXT] của ngươi? Ngươi không biết mình khá nổi tiếng sao? Yên tâm, ta sẽ dùng nó hủy hoại danh tiếng ngươi, khiến ngươi tuyệt vọng cả đời! Ha ha ha!	... (วิญญาณของ [NAME] กำลังสั่นสะเทือนอย่างรุนแรงและดูเหมือนว่ามันจะเจ็บปวดเป็นอย่างมาก...)				
							
LingHun_Esoterica	0	ข้าได้ข่าวมาว่าเจ้านั้นมีดีเกี่ยวกับ[TXT]? พูดซะ มิเช่นนั้นทักษะทั้งหมดของเจ้าคงต้องจบสิ้นในวันนี้?	...	กะ-ก็ได้... ข้าจะพูด ข้าจะบอกเจ้าทุกอย่างที่ข้ารู้...	หึ แล้วยังไง? ทำตามที่เจ้าต้องการเถอะ...		
LingHun_Esoterica_Open	0	Kẻ như ngươi mà xứng với [TXT] sao? Không đưa cho ta thì phí phạm bảo vật. Yên tâm, ta sẽ cho ngươi chết nhanh!	...	Đư-được, được, ta đưa cho ngươi... Xin hãy dừng lại.	... หิมมม...		
							
LingHun_Secret	0	เจ้าได้ปกป้องความลับเกี่ยวกับ[TXT]มาเป็นเวลานานแล้ว เจ้ารู้อะไรเกี่ยวกับมันบ้าง? จงบอกข้ามาทั้งหมด!	...	กะ-ก็ได้ ก็ได้ ข้าจะบอกเจ้า! ได้โปรดปล่อยข้าไปเถอะ...	ข้าไม่รู้อะไรอีกแล้ว...		
LingHun_Secret_Open	0	Tell me everything about [TXT], so you can be free.	...	กะ-ก็ได้ ก็ได้ ข้าจะบอกเจ้า! ได้โปรดปล่อยข้าไปเถอะ...	ข้าไม่รู้อะไรอีกแล้ว...		
							
LingHun_KnowClue	0	Hắn sắp chết rồi, sao phải khổ sở giữ bí mật? Nói hết manh mối về [TXT] đi, ta sẽ cho ngươi chết nhanh chóng.	...	ข้ารู้เกี่ยวกับเรื่องนี้และเรื่องอื่นๆ ข้าจะบอกเจ้าทุกอย่างที่ข้ารู้!	Ta không biết! Ta không biết gì cả! Đừng ép ta!		
LingHun_DontKnowClue	0	Hắn sắp chết rồi, sao phải khổ sở giữ bí mật? Nói hết manh mối về [TXT] đi, ta sẽ cho ngươi chết nhanh chóng.	...	Ta không biết chuyện này, nhưng ta biết vài thứ có thể liên quan... Ta sẽ nói, hãy cho ta chết thống khoái...	Ta không biết! Ta không biết gì cả! Đừng ép ta!		
LingHun_KnowOtherClue	0	Hắn sắp chết rồi, sao phải khổ sở giữ bí mật? Nói hết manh mối về [TXT] đi, ta sẽ cho ngươi chết nhanh chóng.	...	Ta thật sự không biết, nhưng ta biết bí mật khác. Ta sẽ nói hết, xin hãy dừng lại...	Ta không biết! Ta không biết gì cả! Đừng ép ta!		
							
LingHun_KnowSecret	0	Hắn sắp chết rồi, sao phải khổ sở giữ bí mật? Nói hết manh mối về [TXT] đi, ta sẽ cho ngươi chết nhanh chóng.	...	Ta-ta biết! Ta sẽ nói hết! Xin hãy thả ta...	Ta không biết! Ta không biết gì cả! Đừng ép ta!		
LingHun_KnowOtherSecret_Open	0	Hắn sắp chết rồi, sao phải khổ sở giữ bí mật? Nói hết manh mối về [TXT] đi, ta sẽ cho ngươi chết nhanh chóng.	...	Ta không biết, nhưng ta biết bí mật khác. Xin hãy dừng tay...	Ta không biết! Ta không biết gì cả! Đừng ép ta!		
LingHun_KnowOtherSecret_Close	0	Hắn sắp chết rồi, sao phải khổ sở giữ bí mật? Nói hết manh mối về [TXT] đi, ta sẽ cho ngươi chết nhanh chóng.	...	Ta không biết chuyện này, những gì ta biết không liên quan gì cả. Sao ngươi lại làm thế với ta!	Ta không biết! Ta không biết gì cả! Đừng ép ta!		
