ID	Unlock	TXT
10000及以上不参与随机 必须连续	该内容在几级解锁	[Content]
1	1	เพื่อความเสถียรสูงสุด เจ้าควรวางแผนสำหรับพื้นที่การเกษตรของเจ้าโดยเร็วที่สุด
2	4	ข้าไม่รู้ว่าพวกคนที่ลอบโจมตีสำนักไท้อี้นั้นเป็นใครมาจากไหน ดูเหมือนว่าจะเกิดความวุ่นวายในโลกแห่งผู้ฝึกตนขึ้นอีกครั้งแล้ว...
3	3	[color=#D06508]เนื้อตากแห้ง[/color]และ[color=#D06508]ขนมปัง[/color]สามารเก็บได้นานกว่าอาหารสด
4	3	เจ้าสามารใช้[color=#D06508]โอสถบ่มปราณ[/color]เพื่อสร้างรากฐานของเจ้าอย่างรวดเร็วได้
5	4	การฝึกตนนั้นไม่ควรมีจิตใจที่ฟุ้งซ่านวอกแวก เนื่องจากเจ้าเป็นศิษย์ภายใน ดังนั้นเจ้าจึงไม่ควรกังวลเกี่ยวกับงานจิปาถะภายในสำนัก เพราะนั้นจะทำให้การฝึกตนของเจ้าล่าช้า
6	4	เจ้าสามารถขยาย[color=#D06508]ทะเลปราณ[/color]ของเจ้าได้ยามเมื่อเจ้าทำการบ่มเพาะและมันสามารถช่วงเพิ่ม[color=#D06508]ปริมาณปราณสูงสุด[/color]ของเจ้าได้ สิ่งนี่เรียกว่าการขยายทะเลปราณ
7	1	หากเจ้ามีอาหารเหลือน้อย เจ้าสามารถ[color=#D06508]รวบรวม[/color]ทรัพยากรจากพืชใกล้ๆ หรือ[color=#D06508]ล่า[/color]สัตว์ในพื้นที่ ข้าจะยื่นมือช่วยเจ้าเองเมื่อถึงเวลาคับขัน
8	1	งานของศิษย์สายนอกบางครั้งมันก็ทำให้พวกเขาเครียดมากเกินไป เจ้าสามารถสร้าง[color=#D06508]สิ่งบรรเทิงใจ[/color]ให้พวกเขาใช้เพื่อผ่อนคลายจิตใจได้
9	1	[color=#D06508]การสำรวจ[/color]นั้นสิ้นเปลือง[color=#D06508]พลังงาน[/color]เป็นอย่างมาก เมื่อเจ้าเพิ่งเริ่มต้น เจ้าควรสำรวจอย่างพอประมาณ
10	3	[color=#D06508]คัมภีร์แห่งไท้อี้ (F1)[/color]นั้นเต็มไปด้วยข้อมูลสำคัญ หากเจ้าติดขัดไม่เข้าใจอะไรละก็อย่าลังเลที่จะพลิกมันดู
11	1	เจ้าควรขุด[color=#D06508]บ่อน้ำ[/color]โดยเร็วที่สุดเพื่อสร้างแหล่งน้ำสะอาดให้แก่เหล่าศิษย์
12	1	ระวังอย่าออกคำสั่งมากเกินไปในคราวเดียว มิฉะนั้นศิษย์ของเจ้าจะลำบากเป็นอย่างมากในการทำงานให้เสร็จลุล่วง
13	4	นี่เป็นหนึ่งในห้าวิชาแห่งธาตุที่แท้จริงทั้งห้าที่เหลืออยู่ของสำนักไท้อี้...
14	4	เกือบจะได้เวลาแล้ว...
15	4	ชีวิตของข้าเจอผู้คนมาเยอะมากและหลายคนในนั้นก็เป็นผู้ที่มีความแข็งแกร่งเป็นอย่างมาก...
16	4	แววตาของเจ้าดูไม่เป็นมิตรเลย
17	4	ในโลกแห่งผู้ฝึกตนนั้นสิ่งต่างๆ ล้วนไม่แน่นอน ข้าได้เป็นพยานถึงการทรยศหักหลังมานักต่อนักแล้ว สหายน้อยเอ๋ย นี่คือคำแนะนำจากข้า เจ้าเองก็ควรระมัดระวังตัวให้มากเข้าไว้
