房间	Room
兔皮薄衣衫	Rabbit Hide Thin Shirt
紫布休闲下裳	Purple Fabric Casual Pants
蓝布薄衣衫	Blue Fabric Thin Shirt
白布薄下裳	White Fabric Thin Pants
大理石剑	Sword
灰石伐木斧	Graystone Timber Axe
灵木矿镐	Spiritwood Pickaxe
木矿镐	Pickaxe
木墙	Wood Wall
木门	Wood Door
木床	Wood Bed
灵石炉灶	Spirit Stone Stove
梧桐木桌子	Parasol Wood Table
梧桐木墙	Parasol Wood Wall
梧桐木门	Parasol Wood Door
灵石置物台	Spirit Stone Display
母兔子	Female Rabbit
公鸡	Male Chicken
雄龟	Male Turtle
雌龟	Female Turtle
雄青蛙	Male Frog
雌青蛙	Female Frog
梁	Liang
菊	Ju
新家园	New Homeland
采矿	Mine
野外的水	Wild Water
双元	Dual Origin
伟	Wei
弘	Hong
新柔	Xinrou
欧阳	Ouyang
寻雪	Xunxue
双	Shuang
元	Yuan
梁菊	Liang Ju
安	An
郑	Zheng
依凝	Yining
萧	Xiao
瑞	Rui
佟	Tong
紫雅	Ziya
扫地	Sweep Floors
存档写入完成	Game Saved
梁菊感到危险	Liang Ju Senses Danger
药物储量不足	Insufficient medicine reserves.
食物储量不足	Insufficient food reserves.
梁菊需要开采工具	Liang Ju needs mining tools
双元需要砍伐工具	Shuangyuan needs logging tools
天火心光诀	Heavenly Fire Heart Light Art
燃魂九极咒	Soul-Burning Nine Extremities Curse
朱雀金刚	Zhuque Diamond
造化不坏神雷	Creation Indestructible Thunder
迅影秘法	Swift Shadow Secret Method
少量的	Slightly
混元决	Primordial Chaos Technique
混元密卷	Primordial Chaos Secret Scroll
圆转秘诀	Circular Flow Secret
黄芽迅击	Swift Strike of Yellow Sprout
中量的	Visibly
赤炎迅击秘法	Crimson Blitz Secret Art
黄庭混元宝典	Yellow Court Hybrid Canon
真丹蓄神剑诀	True Elixir Spirit-Storing Sword Art
神佑典	Divine Protection Canon
景氏摄神要诀	Jing Family's Soul Capture Technique
紫火神佑典	Violet Flame Divine Protection Scripture
大量的	Greatly
丙火摄神书	Fire Spirit-Snatching Tome
过去庄严琢玉秘传	Past Majesty Jade Carving Secret Tradition
海量的	Massively
再造形神之术	Body-Spirit Reformation Art
南海清心神功	Southern Sea Heart-Cleansing Art
