ID	Secret	Title	Type	BeiZhu	Source	Txt	RelationEvidence	RelationMotivation
			
1	1	บุคคลปริศนา	0		ผู้อาวุโสแห่งนิกายแสงราตรี - กานหมิง	จากคำบอกเล่าของผู้อาวุโสกานหมิงแห่งนิกายแสงราตรี บรรดาศิษย์จากภูเขาร้อยแมลงนั้นได้เริ่มที่จะปกปิดตัวตนของพวกเขาในช่วง [desc_daytime=-20] ดูเหมือนว่าพวกเขานั้นวางแผนที่จะขโมยสมบัติวิเศษจากสำนักแห่งหนึ่ง และมันก็เป็นช่วงเวลาเดียวกันกับช่วงเวลาที่สำนักไท้อี้ถูกโจมตี ถ้าหากข้อมูลนี้เป็นความจริงละก็... มันก็สามารถบอกได้ว่าภูเขาร้อยแมลงนั้นเกี่ยวข้องกันกับการล่มสลายของสำนักไท้อี้	5	
2	1	บุคคลปริศนา	1		ผู้อาวุโสแห่งนิกายแสงราตรี - เยว่ชิงโฉว	จากคำบอกเล่าของผู้อาวุโสเยว่ชิงโฉวแห่งนิกายแสงราตรี ในตอนที่นางไปทำธุระที่ดินแดนโพ้นทะเลช่วง [desc_daytime=-20] นางได้เห็นเปลวไฟขนาดใหญ่ปรากฏบนภูเขาจันทร์เพ็ญและก็ได้ไปสำรวจถึงสาเหตุของเปลวไฟนั้น นางได้พบเพียงร่องรอยของค่ายกลขนาดใหญ่ที่มีอาณาเขตหลายร้อยลี้ ซึ่งทำให้นางเองก็ไม่สามารถเข้าไปใกล้มากกว่านั้นได้ มีเพียงสิ่งเดียวที่นางเห็นนั่นก็คือแสงสีทองที่ปกคลุมไปทั่วท้องฟ้าภายในอาณาเขตค่ายกลนั่น สิ่งนั้นมันก็คือจั๊กจั่นทองคำร้อยพิษ มหาเวทแห่งภูเขาร้อยแมลง หากมีหลักฐานพิสูจน์ว่าสิ่งที่นางพูดเป็นความจริงละก็ นี่มันหมายความว่าภูเขาร้อยแมลงจะต้องเกี่ยวข้องกับการล่มสลายของสำนักไท้อี้	3|4	1
3	1	บุคคลปริศนา	2		ศิษย์จากนิกายแสงราตรี - หลินซือหยวน	จากคำบอกเล่าของหลินซือหยวน ศิษย์จากนิกายแสงราตรี เขาเคยพบที่พำนักของเซียนบรรพกาลที่มีค่ายกลต้องห้ามอันทรงพลังมากในดินแดนโพ้นทะเล ถ้าหากไม่ใช่เพราะผู้อาวุโสเยว่ชิงโฉวมาช่วยเขาละก็ เขาคงตายไปแล้วอย่างไม่ต้องสงสัย และมันก็เป็นช่วงเวลาเดียวกันกับช่วงเวลาที่สำนักไท้อี้ถูกโจมตี ดูเหมือนว่าผู้อาวุโสเยว่ชิงโฉวนั้นจะเป็นเพียงแค่ผู้เห็นเหตุการณ์เท่านั้น นางไม่ใช่ฆาตกรแต่อย่างใด		
4	1	บุคคลปริศนา	2		ผู้อาวุโสแห่งนิกายแสงราตรี - หนิงเซียว	จากคำบอกเล่าของผู้อาวุโสหนิงเซียวแห่งนิกายแสงราตรี ผู้อาวุโสเยว่ชิงโฉวนั้นมีความแค้นส่วนตัวกับภูเขาร้อยแมลง มีเพียงสวรรค์เท่านั้นที่รู้ว่านางได้ประมือกับพวกมันมาแล้วกี่ครั้งและทั้งสองฝ่ายต่างก็กินกันไม่ลงแม้แต่ครั้งเดียว ดังนั้นนางจึงคุ้นเคยกับปราณเวทของพวกภูเขาร้อยแมลงเป็นอย่างมาก หากตัดสินจากสิ่งนี้แล้วละก็ ผู้อาวุโสเยว่ชิงโฉวคงจะไม่ได้มองผิดไปเป็นแน่ ดูเหมือนว่าการล่มสลายของสำนักไท้อี้จะเกี่ยวข้องกับภูเขาร้อยแมลงจริงๆ		
5	1	บุคคลปริศนา	2		ศิษย์จากภูเขาร้อยแมลง - ปาหาน	จากคำบอกเล่าของปาหาน ศิษย์จากภูเขาร้อยแมลง ผู้อาวุโสในสำนักต่างพากันออกไปในช่วง [desc_daytime=-20] เมื่อกลับมา พวกเขาต่างก็พากันเดินเข้าไปในหอสมบัติวิเศษ ราวกับว่าได้รับของมีค่าอะไรบางอย่างที่สำคัญมากๆ มา หากตัดสินจากคำบอกเล่านี้ละก็ ดูเหมือนว่าภูเขาร้อยแมลงได้ทำการส่งผู้อาวุโสที่แข็งแกร่งในสำนักออกไปทำลายสำนักไท้อี้เพื่อนำสมบัติอะไรบางอย่างกลับมา		
6	2	ปริศนาแห่งไท้อี้	0	ภูเขาร้อยแมลง	ผู้อาวุโสแห่งภูเขาร้อยแมลง - ฉีเตียวโจว	จากคำบอกเล่าของผู้อาวุโสฉีเตียวโจวแห่งภูเขาร้อยแมลง พวกเขาได้รับสมบัติวิเศษบรรพกาลที่มีชื่อว่า "โลกจักรวาล" มาในช่วง [desc_daytime=-20] ศิษย์ของภูเขาร้อยแมลงสามารถใช้สมบัติวิเศษชิ้นนั้นสร้างจักรวาลย่อส่วนเพื่อนำสิ่งของต่างๆ ใส่เข้าไปได้ ซึ่งมันเหมาะสมเป็นอย่างมากในการจัดเก็บจั๊กจั่นทองคำร้อยพิษ พลังพิษอันชั่วร้ายของพวกมันจะส่งกลับยังพวกเขาและมันก็เพิ่มพลังพื้นฐายในการบ่มเพาะเป็นอย่างมาก		
7	2	ปริศนาแห่งไท้อี้	0	สำนักเจ็ดวิถีสังหาร	ผู้อาวุโสแห่งสำนักเจ็ดวิถีสังหาร - ชิต้วนฉิว	จากคำบอกเล่าของผู้อาวุโสชิต้วนฉิวแห่งสำนักเจ็ดวิถีสังหาร นางกล่าวอย่างภาคภูมิใจว่านางได้วางแผนทำลายสำนักแห่งหนึ่งในช่วง [desc_daytime=-20] มีความเกลียดชังอย่างลึกซึ้งในคำพูดของนางราวกับว่าการทำลายสำนักดังกล่าวเป็นสิ่งที่น่ายินดีที่สุดในชีวิตของนาง และช่วงเวลานั้นมันก็เป็นช่วงเวลาที่สำนักไท้อี้ถูกทำลายล้างพอดิบพอดี นี่คือเหตุบังเอิญอย่างนั้นเหรอ?		
8	2	ปริศนาแห่งไท้อี้	0	สำนักสราญรมย์	ผู้อาวุโสแห่งสำนักสราญรมย์ - ฉิงยู่หลัน	เมื่อพูดถึงสำนักที่ตั้งอยู่ทางทิศตะวันออกเฉียงใต้แห่งหนึ่งที่ถูกทำลายไปในช่วง [desc_daytime=-20] ปรากฏว่าผู้อาวุโสฉิงยู่หลันแห่งสำนักสราญรมย์นั้นรู้ข้อมูลเกี่ยวกับเรื่องนี้พอสมควร มีความเกลียดชังอย่างลึกซึ้งในคำพูดของนางราวกับว่าการทำลายสำนักดังกล่าวเป็นสิ่งที่น่ายินดีที่สุดในชีวิตของนาง สิ่งนี้มันไม่ชอบมาพากลเป็นอย่างมาก		
9	2	ปริศนาแห่งไท้อี้	0	นิกายหลุมอเวจี	ผู้อาวุโสแห่งนิกายหลุมอเวจี - จงหลีเต๋อ	เมื่อพูดถึงสำนักที่ตั้งอยู่ทางทิศตะวันออกเฉียงใต้แห่งหนึ่งที่ถูกทำลายไปในช่วง [desc_daytime=-20] เสี้ยววินาทีนั้นก็ปรากฏร่องรอยของความหวาดกลัวอยู่ในดวงตาของผู้อาวุโสจงหลีเต๋อแห่งนิกายหลุมอเวจี ทว่าในวินาทีต่อมาเขากลับทำเป็นไม่รู้เรื่องราวเกี่ยวกับสิ่งเหล่านั้นและได้พูดอีกว่าผู้อ่อนแอเช่นนั้นก็สมควรถูกทำลายไปซะ ช่างน่าสงสัยในสิ่งที่เขาพูดจริงๆ		
