Jobp	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5	Desc1	Desc2	Desc3	Desc4	Desc5
EatShit											ข้าจะไม่Ăn phân เว้นแต่พวกเขาจะป้อนให้ข้า	Lâu lâu ta ăn phân	Đôi khi ta ăn phân	Ta khá thích ăn phân	ข้าชอบĂn phân
EatEssence											ข้าจะไม่Ănรากวิญญาณ เว้นแต่พวกเขาจะป้อนให้ข้า	Lâu lâu ta ăn Linh Căn	Đôi khi ta ăn Linh Căn	Ta khá thích ăn Linh Căn	ข้าชอบĂnรากวิญญาณ
EatDrug											ข้าจะไม่Ănยาวิเศษ เว้นแต่พวกเขาจะป้อนให้ข้า	Lâu lâu ta ăn thần dược	Đôi khi ta ăn thần dược	Ta khá thích ăn thần dược	ข้าชอบĂnยาวิเศษ
EatWheat											ข้าจะĂn lúa mì ก็ต่อเมื่อชีวิตของข้าขึ้นอยู่กับมัน	Lâu lâu ta ăn lúa mì	Đôi khi ta ăn lúa mì	Ta khá thích ăn lúa mì	ข้าชอบĂn lúa mì
EatDryMeat											ข้าจะĂn thịt khô ก็ต่อเมื่อชีวิตของข้าขึ้นอยู่กับมัน	Lâu lâu ta ăn thịt khô	Đôi khi ta ăn thịt khô	Ta khá thích ăn thịt khô	ข้าชอบĂn thịt khô
EatPear											ข้าจะĂn lê ก็ต่อเมื่อชีวิตของข้าขึ้นอยู่กับมัน	Lâu lâu ta ăn lê	Đôi khi ta ăn lê	Ta khá thích ăn lê	ข้าชอบĂn lê
EatMeat											ข้าจะĂn thịt sống ก็ต่อเมื่อชีวิตของข้าขึ้นอยู่กับมัน	Lâu lâu ta ăn thịt sống	Đôi khi ta ăn thịt sống	Ta khá thích ăn thịt sống	ข้าชอบĂn thịt sống
EatCook											ข้าจะไม่ĂnThức ăn đã nấu chín ก็ต่อเมื่อชีวิตของข้าขึ้นอยู่กับมัน	Lâu lâu ta ăn thức ăn đã nấu chín	Đôi khi ta ăn thức ăn đã nấu chín	Ta khá thích ăn thức ăn đã nấu chín	ข้าชอบĂnThức ăn đã nấu chín
EatWeight	-1	-1	0	1	1						ข้าจะĂnก็ต่อเมื่อข้าหิวเจียนตาย	ข้าจะĂnก็ต่อเมื่อTa rất đóiๆ	ข้าจะĂnก็ต่อเมื่อข้าหิว	ข้าจะĂnก็ต่อเมื่อข้าเริ่มหิว	Ta thường ăn dù chỉ hơi đói
BiteBuilding											ข้าจะไม่มีวันTấn côngสิ่งปลูกสร้าง	Lâu lâu ta tấn công kiến trúc	Đôi khi ta tấn công kiến trúc	Ta thường tấn công kiến trúc	ข้าชอบTấn côngสิ่งปลูกสร้าง
