Key	Value
看天花板	Nhìn trần nhà kìa
神修在心境为“灵”时，心境已然圆满，将持续上升，不收任何外部条件影响。	Khi nó ở trạng thái tinh thần, nó sẽ phát triển tự nhiên mà không bị ảnh hưởng bởi các yếu tố bên ngoài
秘籍内容:\n	nội dung của kinh thánh:
营养	Bảo trì
拍照模式。	Máy quay
门派弟子数量达到上限:{0}。\n你可以扩大门派规模或者将其他弟子踢出门派。	số học sinh đã lên đến đỉnh điểm
{0}的{1}	Được rồi
当前仍有未保存的阵图，是否保存	Các mô hình không được lưu lại. Anh có muốn cứu nó không
当前未保存的进度将会丢失，确定要读取存档{0}吗？	Anh sẽ mất tất cả những tiến triển không được ghi lại. Cậu có chắc là muốn nạp đạn vào một trò chơi đã được lưu không?
{0}阶-{1}阶	Được rồi
一本神秘秘籍	Một cuốn sách bí ẩn
获取存档信息失败！请检查存档文件是否正常，或者另存为新存档！	Nạp an toàn đã thất bại! Vui lòng kiểm tra hồ sơ an toàn hoặc lưu nó như một tập tin mới!
\n分类:{0}	phân loại:
秘宝认主	Để trói chặt vũ khí ma thuật cổ xưa này
[color=#880000](游戏版本过低:{0})[/color]	[color=#80000]
筑基值：{0}\n	cơ sở:
女	Một phụ nữ
随机鲜花	Hoa ngẫu nhiên
粮食储备	Kho lương thực
已经有重复的标签。	Có một dấu hiệu khác
{2}\n灵气值：{0:N0}/{1:N0}\n法宝在空闲时，或灵气耗完后会从角色身上吸取灵气。	Được rồi. Khi vũ khí ma thuật không được sử dụng hoặc sử dụng hoàn toàn. Nó sẽ giúp cho bài phát biểu của nhân vật
昵称中无法包含字母、数字或者英文符号，请重试	Biệt danh này không thể chứa ký hiệu, số, hay ký hiệu tiếng Anh. Xin hãy thử lại
{0}天	Ngày
已激活所有扩展内容!\n谢谢大爷!	tất cả nội dung phụ được kích hoạt!
湖仙钓者	Những con mèo phù thủy của hồ
被夺舍	bị ám
点击执行发布装备命令。	Nhấn nút để gửi lệnh đeo thiết bị
采集或者历练	Tập hợp hay phiêu lưu
\n季节不适	một mùa không thích hợp
将一个镇物鉴定	Kiểm tra kho báu
赠送以完成任务	Giao quà để hoàn thành nhiệm vụ
洞天	Thiên đường
