talk	notarget	int	string	float	thing
NotEat_Item_WuDang_HuangJingFen	ข้าจะไม่Ănผงแกนดิน				
NotEat_Item_Dan_WuQiNoHunger2	ข้าจะไม่Ăn Bổ Khí Đan				
NotEat_Item_Dan_SanHuaHuangJing	ข้าจะไม่Ăn đan dượcสามแกน				
WannaEat_Item_WuDang_HuangJingFen	Ta muốn ăn Địa Hạch Phấn				
WannaEat_Item_Dan_WuQiNoHunger2	Ta muốn ăn Bổ Khí Đan				
WannaEat_Item_Dan_SanHuaHuangJing	ข้าต้องการĂn đan dượcสามแกน				
DoTalkEat_Item_WuDang_HuangJingFen					Ta đang ăn Địa Hạch Phấn
DoTalkEat_Item_Dan_WuQiNoHunger2					Ta đang ăn Bổ Khí Đan
DoTalkEat_Item_Dan_SanHuaHuangJing					Ta đang ăn Tam Hạch Đan
CantEat_Item_WuDang_HuangJingFen	Ta không tìm thấy Địa Hạch Phấn				
CantEat_Item_Dan_WuQiNoHunger2	Ta không tìm thấy Bổ Khí Đan nào				
CantEat_Item_Dan_SanHuaHuangJing	Ta không tìm thấy Tam Hạch Đan nào				
