ID	Name	Desc
ID	Achievement Title	Description
1	เหินสู่สวรรค์ครั้งแรก	มีผู้เหินสู่สวรรค์ 1 คน
2	ครูพักลักจำการเหินสวรรค์	มีผู้เหินสู่สวรรค์ 3 คน
3	เหินสวรรค์เป็นว่าเล่น	มีผู้เหินสู่สวรรค์ 5 คน
4	ผู้บำเพ็ญเพียรลือชื่อ	มีผู้เหินสู่สวรรค์ 10 คน
5	เยาว์วัยไร้ประสบการณ์	ผจญภัยรวม 1 ครั้ง
6	นักผจญภัยสบายๆ	ผจญภัยรวม 100 ครั้ง
7	นักผจญภัยชำนาญ	ผจญภัยรวม 500 ครั้ง
8	จอมผจญภัย	ผจญภัยรวม 1,000 ครั้ง
9	ปรุงโอสถครั้งแรก	ปรุงโอสถ 1 ครั้ง
10	ปรุงโอสถชำนาญ	ปรุงโอสถ 50 ครั้ง
11	ปรุงโอสถผู้ยิ่งใหญ่	ปรุงโอสถ 100 ครั้ง
12	ปรมาจารย์โอสถ	ปรุงโอสถ 500 ครั้ง
13	ช่างศาสตราครั้งแรก	สร้างศาสตราวุธ 1 ชิ้น
14	ช่างศาสตราชำนาญ	สร้างศาสตราวุธ 50 ชิ้น
15	ช่างศาสตราผู้เชี่ยวชาญ	สร้างศาสตราวุธ 100 ชิ้น
16	ปรมาจารย์ศาสตรา	สร้างศาสตราวุธ 500 ชิ้น
17	วาดยันต์ครั้งแรก	วาดยันต์ 1 แผ่น
18	วาดยันต์ชำนาญ	วาดยันต์ 50 แผ่น
19	วาดยันต์ผู้เชี่ยวชาญ	วาดยันต์ 100 แผ่น
20	ปรมาจารย์ยันต์	วาดยันต์ 500 แผ่น
21	สังหารครั้งแรก	สังหารสิ่งมีชีวิต 1 ตัว
22	เพชฌฆาตอาชีพ	สังหารสิ่งมีชีวิต 100 ตัว
23	เพชฌฆาตไร้ใจ	สังหารสิ่งมีชีวิต 500 ตัว
24	นักล่า	สังหารสิ่งมีชีวิต 1,000 ตัว
25	นักล่าผู้บำเพ็ญเพียร	สังหารผู้บำเพ็ญเพียร 1 คน
26	ภัยพิบัติของนักบำเพ็ญ	สังหารผู้บำเพ็ญเพียร 100 คน
27	คนฆ่าสายบำเพ็ญ	สังหารผู้บำเพ็ญเพียร 500 คน
28	เพชฌฆาตนักบำเพ็ญ	สังหารผู้บำเพ็ญเพียร 1,000 คน
29	ค้นวิญญาณครั้งแรก	ค้นวิญญาณ 1 ดวง
30	ค้นวิญญาณชำนาญ	ค้นวิญญาณ 10 ดวง
31	ค้นวิญญาณผู้เชี่ยวชาญ	ค้นวิญญาณ 50 ดวง
32	ปรมาจารย์ค้นวิญญาณ	ค้นวิญญาณ 100 ดวง
33	พ่อครัว	ทำอาหารครบ 10 ชนิด
34	เชฟ	ทำอาหารครบ 20 ชนิด
35	เชฟขั้นปรมาจารย์	ทำอาหารครบ 50 ชนิด
36	ประกายปัญญา	สร้างงานศิลป์ชั้น VII 1 ชิ้น
37	กระแสแห่งความคิด	สร้างงานศิลป์ชั้น VII 10 ชิ้น
38	ศิลปินโดยพรสวรรค์	สร้างงานศิลป์ชั้น VII 50 ชิ้น
39	ขายเพิ่มอีกหนึ่ง	ชักชวนผู้เดินทางเข้าร่วม 1 คน
40	ขายเพิ่มอีกห้า	ชักชวนผู้เดินทางเข้าร่วม 5 คน
41	ขายเพิ่มอีกสิบ	ชักชวนผู้เดินทางเข้าร่วม 10 คน
42	ยิ่งเยอะยิ่งครึกครื้น	ชักชวนผู้เดินทางเข้าร่วม 20 คน
43	อ่านครั้งแรก	เรียนคัมภีร์จากการอ่าน 1 เล่ม
44	หนอนหนังสือ	เรียนคัมภีร์จากการอ่าน 10 เล่ม
45	ปราชญ์	เรียนคัมภีร์จากการอ่าน 50 เล่ม
46	บรรณกรผู้ยิ่งใหญ่	เรียนคัมภีร์จากการอ่าน 100 เล่ม
47	อุบัติเหตุอันน่าเศร้า	ศิษย์เสียชีวิต 1 คน
48	เคราะห์ซ้ำกรรมซัด	ศิษย์เสียชีวิต 5 คน
49	ทุกข์ซ้ำทับถม	ศิษย์เสียชีวิต 10 คน
50	เปราะบางแห่งชีวิต	ศิษย์เสียชีวิต 50 คน
51	สูญเสียหนักหนา	ศิษย์ชั้นในเสียชีวิต 1 คน
52	สูญเสียยิ่งใหญ่	ศิษย์ชั้นในเสียชีวิต 5 คน
53	สูญเสียสาหัส	ศิษย์ชั้นในเสียชีวิต 10 คน
54	หัวใจสลาย	ศิษย์ชั้นในเสียชีวิต 20 คน
55	ข้าคือเจ้า	ถูกสิง 1 คน
56	เขาเป็นข้า	ถูกสิง 5 คน
57	เราคือทุกคน	ถูกสิง 10 คน
58	ราชันย์สิงร่าง	ถูกสิง 20 คน
59	พริบตาเดียว	ทำสมาธิรวม 100 ปี
60	กาลเวลาผ่านไป	ทำสมาธิรวม 500 ปี
61	ปีที่ถูกลืม	ทำสมาธิรวม 1,000 ปี
62	ยอดเดียวดาย	ทำสมาธิรวม 5,000 ปี
63	มอบอายุขัยมา	ช่วงชิงอายุขัยผู้อื่นรวม 10 ปี
64	มอบอายุขัยเพิ่ม	ช่วงชิงอายุขัยผู้อื่นรวม 50 ปี
65	ชะตาเช่นนี้เอง	ช่วงชิงอายุขัยผู้อื่นรวม 500 ปี
66	ยมทูต	ช่วงชิงอายุขัยผู้อื่นรวม 1,000 ปี
67	ความเจ็บปวดหลุมลึก	หลอมวิญญาณ 1 ดวง
68	เสียงครวญคราง	หลอมวิญญาณ 10 ดวง
69	บ่อเกิดแห่งทุกข์	หลอมวิญญาณ 50 ดวง
70	อสูรร้าย	หลอมวิญญาณ 100 ดวง
71	ฉกฉวยวิญญาณ	ชิงวิญญาณ 1 ดวง
72	วิญญาณสดใหม่	ชิงวิญญาณ 10 ดวง
73	ตัวแทนแห่งวิญญาณ	ชิงวิญญาณ 50 ดวง
74	จอมวิญญาณ	ชิงวิญญาณ 100 ดวง
75	ดูดกลืนโลหิต	ปฏิบัติการดูดกลืนโลหิต 1 ครั้ง
76	วัฏจักรชีวิต	ปฏิบัติการดูดกลืนโลหิต 10 ครั้ง
77	กฎหยินหยาง	ปฏิบัติการดูดกลืนโลหิต 50 ครั้ง
78	ราชันย์แห่งความตาย	ปฏิบัติการดูดกลืนโลหิต 100 ครั้ง
79	บาปกรรม	ทำพิธีบูชายัญสำเร็จ 1 ครั้ง
