农田	Field
房间	Room
狼皮修行衣衫	Wolf Hide Sect Uniform
白布休闲下裳	White Fabric Casual Pants
木弓	Bow
白布休闲衣衫	White Fabric Casual Shirt
靛蓝布修行下裳	Indigo Fabric Cultivator Pants
木锤	Wood Mace
可以大幅提高寒冷抵抗的符咒。	Talisman used to drastically raise resistance to cold.
太阳符	Talisman of Supreme Yang
棕石砖	Brownstone Block
极光碑	Aurora  Seal
木墙	Wood Wall
木栅栏	Wood Fence
木门	Wood Door
木小方桌	Wood Square Table
木床	Wood Bed
灵石炉灶	Spirit Stone Stove
木水缸	Wood Water Vat
无名之墓	Marble Tomb
大理石灯笼	Marble Lantern
大理石油灯	Marble Oil Lamp
铁虫鸟架	Iron Bird Cage
大理石围棋桌	Marble Go Table
蓝布蒲团	Blue Fabric Cushion
灵石装饰书架	Spirit Stone Decoration Shelf
灵石灯笼	Spirit Stone Lantern
角色出生点	Character Spawn Point
无名	Nameless
之人	The Person
 虚	 Void
韩	Han
诚	Cheng
西门	Ximen
雅芝	Yazhi
仇	Qiu
华	Hua
逍遥者	The Free Roamer
狸	Female Cat
斄	Male Bull
御木诀	Wood Control Formula
玉京飞流法	Jade Capital Flying Current Method
先天罡气	Innate Gang Qi
元磁灭绝神光	Primordial Magnetic Annihilation Beam
吸星掌	Star-Sucking Palm
灵息诀	Spirit Breath Technique
和光同尘	Harmonizing Light with Dust
回光诀	Returning Light Formula
五气归源	Five Qi Origin Return
入定之术	Art of Meditation
玉清定境	Jade Clarity Stabilized Realm
祈天经	Heaven-Praying Scripture
万法归藏	Myriad Laws Return to Cang
谷神大法	Great Method of Valley Spirit
庚金神雷	Geng Metal Divine Thunder
回春诀	Spring Return Technique
天水化伤术	Heavenly Water Wound-Transformation Art
烈焰决	Blazing Flame Technique
厚土之盾	Shield of Fertile Earth
醍醐灌顶之术	Enlightenment Bestowal Technique
大衍神算	Derivative Calculation
周天神算	Universal Foresight
六壬神算	Astrological Foresight
元始之胎	Primordial Womb
秘宝：戊己杏黄旗	Treasure: Yellow Apricot Flag of Wuji
玉清太虚神雷	Jade Purity Void Divine Thunder Technique
庚金元神	Geng Metal Primordial Spirit
庚金元神·圆满	Geng Metal Primordial Soul · Great Perfection
甲木元神	Jia Wood Primordial Spirit
甲木元神·圆满	Jia Wood Primordial Soul · Great Perfection
壬水元神	Ren Water Primordial Spirit
壬水元神·圆满	Ren Water Primordial Soul · Great Perfection
丙火元神	Bing Fire Primordial Spirit
丙火元神·圆满	Yang Fire Primordial Soul · Great Perfection
戊土元神	Wu Earth Primordial Spirit
戊土元神·圆满	Wu Earth Primordial Soul · Great Perfection
天道神丹	Divine Elixir of Heavenly Dao
天道神器	Divine Artifact of Heavenly Dao
赋灵术	Spirit Infusion Art
五泉涤心法	Five Springs Heart-Cleansing Method
化伤术	Wound Transformation Art
求雨术	Rain-Summoning Art
甘霖术	Sweet Dew Art
风水鉴定	Geomancy Appraisal
太和御气诀	Great Harmony Qi-Control Art
清心咒	Serene Heart Curse
天霖诀	Heavenly Rain Formula
天一真法	True Method of Tian Yi
采水诀	Water-Gathering Technique
水镜观心定	Water Mirror Heart-Calming Method
玄牝重生法	Mystic Feminine Rebirth Method
乘风诀	Wind-Riding Formula
同风诀	Shared Wind Technique
奔流诀	Torrent Technique
归海诀	Sea-Return Technique
水精真形	Water Essence True Form
水气真形	Water Qi True Form
水神真形	Water God's True Form
暴雨术	Rainstorm
九阴真水界	Nine Yin True Water Realm
玄魂造命	Mystic Soul Life Creation
罡煞合流	Convergence of Gangsha
唔，吃什么呢？	"Hmm, what to eat?"
喵喵~~	Miao Miao~~
抓老鼠？我怎么就不会抓老鼠了，你别人眼看牛低！	Catch mice? How could I not know how to catch mice? Don't look down on people!
无何有之乡	Village of Nowhere
界间界·虚之草庐	Between Worlds · Void Thatched Hut
界间幻景，存续之所。	"Interworld illusion, abode of existence."
