ID	Content	WholeContent	TipDesc	Desc	TipsContent

1	อาหารสำรองไม่เพียงพอ	อาหารสำรองในคลังมีไม่เพียงพอ			
2	ปริมาณยาสำรองไม่เพียงพอ	ปริมาณยาสำรองในคลังมีไม่เพียงพอ			
3	หลังกายมีไม่เพียงพอ	หลังกายมีไม่เพียงพอ			
4	ฤดูร้อนกำลังจะมาถึง	ฤดูร้อนกำลังจะมาถึง	กรุณาเตรียมตัวรับมือกับอากาศที่ร้อนอบอ้าว		
5	ฤดูหนาวกำลังจะมาถึง	ฤดูหนาวกำลังจะมาถึง	กรุณาเตรียมตัวรับมือกับอากาศที่เย็นยะเยือก		
6	ศัตรูปรากฏตัว	ศัตรูของท่านได้ปรากฏตัวขึ้น			
7	{0}{1} กำลังถูกโจมตี	สำนักกำลังถูกโจมตี			
8	ไฟกำลังไหม้	ไฟกำลังไหม้			
9	ชาวบ้านต้องการความช่วยเหลือ	มีชาวบ้านต้องการความช่วยเหลือ			
10	{0} กำลังจะหยิบ{1}	ศัตรูกำลังพยายามหยิบสิ่งของ			
11	ศัตรู {0} ได้เก็บ{1}ไป	ศัตรูได้เก็บสิ่งของบางอย่างไป			
12	อสูรวิญญาณ{0}ได้ปรากฏตัว	อสูรวิญญาณ{0}ได้ปรากฏตัวออกมา			
13	สมบัติที่ตกจากฟ้า	สมบัติที่ตกจากฟ้า			
14	ผู้ฝึกตน {0}_ได้มาถึง/จากไป	ผู้ฝึกตนได้มายังที่นี่			
15	{0} ได้ตกหลุมรัก {1}	เรื่องรักๆ ใคร่ๆ			
16	{0} ไม่รู้สึกรัก {1} อีกต่อไป	ความรักที่จางหายไป			
17	{0} ได้สารภาพรักกับ {1} _และพวกเขาก็ได้กลายเป็นคนรักกัน/ทว่าล้มเหลว	ใครบางคนได้สารภาพความรู้สึกภายในใจออกไป			
18	{0} ได้เชิญชวน {1} _และประสบความสำเร็จ/ทว่าล้มเหลว	มีคนพยายามโน้มน้าวใจใครบางคน			
19	ถูกทอดทิ้ง	ถูกทอดทิ้ง			
20	{0} กำลังอารมณ์เสีย	ใครบางคนกำลังรู้สึกอารมณ์เสีย			
21	อารมณ์ของ {0} แย่ลงเพราะ{1}	อารมณ์ของใครบางคนแย่ลง			
22	สภาวะจิตของ {0} ไม่มั่นคง	มีใครบางคนมีจิตใจไม่มั่นคง			
23	{0}:  _ล้มลงกับพื้น/หมดสติ/กำลังจะตาย	มีใครบางคนไม่สามารถเคลื่อนไหวได้			
24	ถูกทอดทิ้ง	ถูกทอดทิ้ง			
25	{0} ตาย	มีใครบางคนเสียชีวิต			
26	{0} อู้งาน	มีคนอู้งาน			
27	{0} เลิกอู้งาน	มีใครบางคนกลับมาขยันทำงาน			
28	{0} ต้องการอาวุธในการล่าสัตว์	มีใครบางคนต้องการอาวุธในการล่าสัตว์			
29	{0} ต้องการขวานในการตัดไม้	มีใครบางคนต้องการขวานในการตัดไม้			
30	{0} ต้องการอีเต้อในการขุดเหมือง	มีใครบางคนต้องการอีเต้อในการขุดเหมือง			
31	{0} ต้องการจอบในการทำเกษตร	มีใครบางคนต้องการจอบในการทำการเกษตร			
32	ทักษะ{1}ของ {0} ได้รับการยกระดับแล้ว	ไทักษะยกระดับ			
33	{0} ตกอยู่ในกิเลส	มีใครบางคนตกอยู่ในกิเลส			
34	{0} ประสบความสำเร็จในการสร้างรากฐาน	มีใครบางคนประสบความสำเร็จในการสร้างรากฐาน			
35	{0} เจอปัญหาคอขวด	มีใครบางคนเจอปัญหาคอขวด			
36	{0} ใกล้จะถึงจุดคอขวดแล้ว	มีใครบางคนใกล้จะพบปัญหาจุดคอขวดแล้ว			
37	{0} ได้มาถึงจุดคอขวดแล้ว	มีใครบางคนได้มาถึงจุดคอขวดแล้ว			
