ID	Des	Disname
		
-1	Empty	Empty
1	เสริมพลังอุปกรณ์ด้วยญาณรู้แจ้งทักษะอาวุธวิเศษจำนวนน้อย	ญาณรู้แจ้งเต๋า: น้อย
2	เสริมพลังอุปกรณ์ด้วยญาณรู้แจ้งทักษะอาวุธวิเศษจำนวนมาก	ญาณรู้แจ้งเต๋า: มาก
3	เสริมพลังอุปกรณ์ด้วยญาณรู้แจ้งทักษะปราณเวทจำนวนน้อย	ญาณรู้แจ้งเต๋า: น้อย
4	เสริมพลังอุปกรณ์ด้วยญาณรู้แจ้งทักษะปราณเวทจำนวนมาก	ญาณรู้แจ้งเต๋า: มาก
5	เสริมพลังอุปกรณ์ด้วยญาณรู้แจ้งทักษะเกราะปราณจำนวนน้อย	ญาณรู้แจ้งเต๋า: น้อย
6	เสริมพลังอุปกรณ์ด้วยญาณรู้แจ้งทักษะเกราะปราณจำนวนมาก	ญาณรู้แจ้งเต๋า: มาก
7	เสริมพลังอุปกรณ์ด้วยญาณรู้แจ้งทักษะหลอมโอสถจำนวนน้อย	ญาณรู้แจ้งเต๋า: น้อย
8	เสริมพลังอุปกรณ์ด้วยญาณรู้แจ้งทักษะหลอมโอสถจำนวนมาก	ญาณรู้แจ้งเต๋า: มาก
9	เสริมพลังอุปกรณ์ด้วยญาณรู้แจ้งทักษะหลอมอาวุธวิเศษจำนวนน้อย	ญาณรู้แจ้งเต๋า: น้อย
10	เสริมพลังอุปกรณ์ด้วยญาณรู้แจ้งทักษะหลอมอาวุธวิเศษจำนวนมาก	ญาณรู้แจ้งเต๋า: มาก
11	เสริมพลังอุปกรณ์ด้วยความรู้ระดับเริ่มต้นของทักษะอาวุธวิเศษ	ญาณรู้แจ้งวิชา: [TXT]
12	เสริมพลังอุปกรณ์ด้วยความรู้ระดับสูงของทักษะอาวุธวิเศษ	ญาณรู้แจ้งวิชา: [TXT]
13	เสริมพลังอุปกรณ์ด้วยความรู้ระดับผู้เชี่ยวชาญของทักษะอาวุธวิเศษ	ญาณรู้แจ้งวิชา: [TXT]
